tag | canon | symbol | lot_law | risk | entry_long :: exit :: buildon
EX184 | breakout-trendline | unspecified (author trades gold-style volatility per commentary) | martingale | no_sl,uncapped_martingale | manual buy-mode flag true AND mode_B auto-flag=1 (set when prior candle closes above auto-drawn TrendLine-Buy) -> buy at grid spac :: take-profit recalculated every tick as average(basket)_price +/- 50 pi :: add an explicit max-order cap (missing here unlike sibling EX183 videos which use 50); the
EX097 | breakout-trendline | XAUUSD | martingale | martingale | buy-stop pending order 75pip above price (SL60pip), gated by Indicator-Rise block requiring ATR(period14) to be increasing, added  :: TP via profit-unrealized 60pip (pip basis); SL60pip triggers lot x2 ne :: already capped; author explicitly compares filtered-vs-unfiltered trade count/drawdown sho
EX024 | breakout-trendline | EURUSD | martingale | no_sl | price closes >50 pips above the upper sideway line (drawn from 48-candle high/low, only valid if channel width <=100 pips) :: close all when combined profit > $50; if first trade moves 50 pips aga :: author suggests combining this hedge technique with other EAs; build-on: verify/add an exp
EX094 | breakout-trendline | XAUUSD | martingale | no_sl | New_Top_inTrend confirms uptrend quality (10-bar low-to-high swing range >=1000pips, quality param=8) -> buy fix 0.01L, no SL/TP :: close basket both sides when unrealized profit > $10 :: already capped at 5 orders; run a flat-lot test to isolate the trend-quality entry's own e
EX097 | breakout-trendline | XAUUSD | martingale | martingale | buy-stop pending order 75pip above current price when no position/pending order exists, active only within server time 01:00-23:00 :: target 50pip via floating-profit check (pip-as-position), close both s :: already capped at 10 consecutive losses; try linear-add or log-lot instead of x2 martingal
EX184 | breakout-trendline | XAUUSD (implied, unspecified explicitly) | martingale | no_sl,uncapped_martingale | prior candle close crosses above auto-drawn TrendLine-Buy (built from 90-candle high vs 45-candle high divergence) -> buy 0.01 lot :: take-profit dynamically recalculated every tick as average(basket)_pri :: add explicit max-order cap and Terminate-on-cutloss (author's own sibling video EX184 kAJ1
EX164 | breakout-trendline | XAUUSD | martingale | uncapped_martingale | buy-stop pending order placed price_offset=75 pips above current ask, lot=lot_BS (starts 0.1), one order per bar filter :: SL=150 pips on every order; close at +150 pips profit target (resets l :: add a hard doubling-step cap (e.g. max 3-4 martingale steps) before forcing a pause; the d
EX085 | breakout-trendline | XAUUSD | fixed | none | Time Bomb Up detects price rising 10 pips within 10 seconds -> buy with fixed 60-pip SL on first order :: trailing stop 30 pips step1 (group-of-trades) once 2+ legs open; grid- :: simplest/cleanest card in batch (fixed lot, real SL, 10-min build time per author) -- good
EX164 | breakout-trendline | XAUUSD | martingale | uncapped_martingale | buy-stop pending order offset=300 pips above current price, lot=lot_BS (starts 0.1), SL=500 pips, TP=500 pips :: TP hit (500 pips) closes and resets lot_BS to base 0.1; SL hit (500 pi :: add a hard martingale-step cap; same reusable daily-profit-lock module as the other EX164 
EX076 | breakout-trendline | EURUSD | linear-add | no_sl,uncapped_grid | price closes above auto-drawn TR_LINE_buy (connects highest-high of last 50/90 candles to highest-high of last 15 candles) AND pri :: close all when combined profit>10 pips; trailing stop 10/step1 after t :: add max-order/lot cap; author notes viewers found the 50-candle trendline noisy and switch
EX087 | breakout-trendline | XAUUSD | fixed | none | price crosses above Upper_Line (highest high of candle ID1-ID3) -> buy fix 0.1L, SL 100 pips, TP 200 pips :: SL 100 pips / TP 200 pips only; no martingale or grid recovery in this :: author explicitly invites adding martingale/custom-sequence recovery for losers; add a pos
EX039 | breakout-trendline | EURUSD | grid-add | no_sl | price breaks below the drawn support line (BreakOut_S flag set), then within 10 candles closes back above the support line -> open :: close basket when unrealized profit > $5; if price moves against the p :: already capped at 30 orders + 30% cutloss; this is the base version the author later impro
EX047 | breakout-trendline | unspecified | martingale | uncapped_martingale | current candle bullish; once open-to-current distance exceeds 30 pips, draw horizontal line at candle high (buy_signal); when pric :: SL 15 pips / TP 25 pips per order; manual close_buy/close_sell/close_a :: add an explicit max-order-count cap to the lot_x martingale ladder; the EA already ships a
EX043 | breakout-trendline | EURUSD | fixed | none | current server weekday+time is within a user-configured news window (per-weekday enable flag + two start-times per day, each activ :: each order closes via its own fixed SL15pip/TP30pip; no basket-level c :: news windows must be manually re-entered weekly from ForexFactory (labor-intensive/stale-p
EX108 | breakout-trendline | XAUUSD | grid-add | uncapped_grid | current price >= previous ZigZag High (ID1) -> breakout up -> buy 0.01 lot, SL=lowest of 3-candle lookback :: initial SL from 3-candle lookback, no TP; grid-add fixed 0.01 lot ever :: add explicit order cap to the grid pyramid; author recommends a low-spread account (2pip) 
EX119 | breakout-trendline | XAUUSD | grid-add | no_sl | prior bearish candle with body>=100pips draws a 'LINE buy' at its high; price crossing above that line AND New Top confirms qualit :: trailing money-loss stop capped at $10 loss max per side (steps by $1) :: author explicitly flags own parameters as under-tuned (min body 100pips too small for gold
EA_FXDreema_EP4_10_10_2567 | breakout-trendline | XAUUSD | grid-add | no_sl | buy allowed only while price stays inside dynamic zone (below Upper LINE, above Lower LINE); opens a new buy every GD Distance=100 :: each grid order TP=100 pips, no per-order SL; whole basket also closes :: already single-shot capped hedge (2x basket lot, triggered at 10% balance loss) not uncapp
EX110 | breakout-trendline | XAUUSD | grid-add | no_sl | price above auto TR_LINE_buy (support trendline) AND price crosses above EMA(50) -> buy 0.01 lot :: no SL/TP; grid-add fixed 0.01 lot every 50pip in trend direction; tell :: add a hard SL layer; the auto-trendline-drawing technique (2-point regression from swing h
EX002 | breakout-trendline | unspecified | martingale | uncapped_martingale | highest price of last 50 candles > highest price of last 15 candles -> draw green trendline; buy when candle close ID1 crosses abo :: SL 20 pip, TP 40 pip fixed :: add step cap on the martingale ladder; the auto-trendline (highest/lowest price over confi
EX115 | breakout-trendline | XAUUSD | grid-add | no_sl,uncapped_grid | EMA3>EMA50 (distance<1500pips) and current candle closes crossing above BOTH EMA3 and EMA8 in the same bar (pullback-then-break pa :: trailing stop 100/step5 pips, group-of-trade mode :: add explicit volume cap on grid add (currently unlimited every 50 pips against position); 
EX133 | breakout-trendline | XAUUSD | martingale | martingale | current candle body extends >=500 pips above its open; price then pulls back (retraces) >=100 pips from that extreme, marked by a  :: SL = lowest/highest low/high of the prior 3 candles; TP = 200% of the  :: already capped at 2 lots; creator himself suggests widening the cap to 100 lots via cent/m
EX132 | breakout-trendline | XAUUSD | fixed | none | Time-Bomb Up block: price rises >=100 pips within 5 seconds -> open buy 0.02 lot (SL 100 pips, TP 200 pips); simultaneously place  :: SL 100 pips / TP 200 pips on the initial order and SL/TP 100 pips on t :: already has SL/TP and a single-hedge cap; test entries as pending stop/limit orders vs mar
EX125 | breakout-trendline | XAUUSD | grid-add | uncapped_grid | price closes above dynamic drawn 'Line_buy' object (set at ZigZag swing high, 20-candle lookback) -> buy 0.01, SL100, no TP; delet :: first order SL100 only; grid-add every 50pip on adverse move (no SL/TP :: add explicit max-order/lot cap to the grid-add leg; author notes this is a simplified rewo
EX121 | candlestick-pa | XAUUSD | fixed | no_sl | EMA8>EMA18 (uptrend filter) AND candle ID1 and ID3 both bullish with body>=100pips (ID2 direction ignored) AND close(ID1) > close( :: no fixed SL/TP; grid add every 50pips in profit direction (snowball),  :: add explicit SL per entry group in addition to trailing-stop-group risk control; combine E
EX128 | candlestick-pa | XAUUSD | martingale | no_sl,uncapped_martingale | mode_buy=true and (prior candle bearish with lower-wick>=40% of >=100pip candle_size [rejection], OR prior candle bullish with wic :: no SL/TP on any order; basket closes on +$5 combined profit, then rese :: modified from an earlier example (#89); add a hard lot/step cap (e.g. stop doubling after 
EX075 | candlestick-pa | EURUSD | linear-add | no_sl,uncapped_grid | candle_id4, candle_id3, candle_id2 all bullish (min body 4 pip) and candle_id1 close still above candle_id2 open (shallow pullback :: close all when combined profit>10 pips; trailing stop 10/step1 after t :: author himself suggests: add a max-order cap (e.g. MaxOrder=15) to limit grid risk, and sw
EX160 | candlestick-pa | XAUUSD | fixed | none | EMA3 crosses above EMA8 with ID3 bearish, ID2 bearish, ID1 bullish confirmation candle :: fixed SL500/TP500; opens a single opposite-direction pending hedge ord :: near-duplicate of sibling EX160(msnxjMFbI8Y) build; use as a base for testing across more 
EX078 | candlestick-pa | unspecified | martingale | no_sl,uncapped_martingale | 3 consecutive bullish candles with increasing body size (ID1>ID2>ID3, largest most recent) -> buy :: profit target in pips (as_Position) scaling with number of open trades :: video itself demonstrates the build-on: adding EMA(8,18) crossover confirmation before ope
EX064 | candlestick-pa | XAUUSD | martingale | no_sl | no open trade; 3 consecutive bullish candles (ID1-3, open<close) + EMA fast(3)>EMA slow(8) + price within 200 pips of EMA fast ->  :: ForwardTrend mode: price beyond 50pip grid from prior order in favorab :: already capped at 1 lot; flat-lot test the ForwardTrend grid alone (no martingale) since i
EX128 | candlestick-pa | unspecified | martingale | no_sl | candle ID1 lower-wick>=40% of candle (size>=100pip) or bullish dominant-body candle, AND price pulls back mechanism same as origin :: no SL, no TP; close all at combined profit $5; grid recovery distance  :: already capped via Volume Upper Limit + fixed -3000 USD cut-loss; test scaling cut-loss as
EX069 | candlestick-pa | EURUSD (also demoed on XAUUSD with adjusted params) | linear-add | no_sl,uncapped_grid | candle_id1 and candle_id2 bullish candles, candle_id1 open above EMA5; candle_id2 close crosses above EMA5, EMA8 and EMA12 simulta :: close all when combined profit>10 USD (close_Money); trailing stop 15/ :: add max-order/lot cap; author gives separate XAUUSD parameter set (candle_pip 50, close_Mo
EX064 | candlestick-pa | unspecified | martingale | no_sl,uncapped_martingale | no open buy/sell; 3 consecutive bullish candles (ID1-3, min body 2 pips, T White Soldier pattern) -> buy 0.1 lot :: ForwardTrend mode: price beyond SGridDistance(15pips) in favorable dir :: add an explicit lot/order cap (the sibling revision EX064/3MJMu9D8WKg already does this wi
EX066 | candlestick-pa | EURUSD | linear-add | no_sl,uncapped_grid | price closes above EMA200 and 2 consecutive bullish candles (min body 10 pips) draw a 'Zone Buy' horizontal line at candle ID2's h :: ForwardTrend: price beyond GridDistance(15pips) in favorable direction :: add an explicit max-order cap on the ReverseTrend linear-add leg (currently unbounded); th
EX122 | candlestick-pa | XAUUSD | grid-add | uncapped_grid | candle ID2=doji (body<upper wick and body<lower wick), candle ID1=bullish with body<=100pip, candle ID3=bearish -> buy first order :: first order has SL at doji high/low, no TP; grid-add orders have no SL :: already money-capped via $10 basket cut-loss; add explicit max-order count cap and test li
EX128 | candlestick-pa | unspecified | martingale | no_sl,uncapped_martingale | candle ID1 (either color) with lower wick >=50% of candle size (candle size>=50pip) OR bullish candle with body dominant (wicks<=1 :: no SL, no TP; close all when combined buy+sell profit > $5; grid recov :: add Volume Upper Limit cap (as done in the MQ5 revision of this same example) or switch to
EX118 | candlestick-pa | EURUSD | linear-add | no_sl,uncapped_grid | ID4,ID3 bearish; ID2,ID1 bullish; at least one bar in each pair has body>=7pips; close of ID1 > open of ID4 :: single-trade TP=30pips; multi-trade (grid) TP=8pips pip-as-position; g :: add explicit lot cap on the linear grid-add ladder; author reports 5.5yr EURUSD H1 backtes
EX106 | candlestick-pa | EURUSD | martingale | no_sl,uncapped_martingale | candle ID1 bearish (min body>=5pip) AND current price > candle ID1 close by >5pip -> buy 0.01 lot :: no SL/TP; Follow-Train pyramids fixed 0.01 lot every 20pip grid + trai :: add a step cap to the Reverse-Train martingale (same design gap as EX104); backtest result
EX138 | candlestick-pa | XAUUSD (also tested EURUSD) | martingale | no_sl,uncapped_martingale | candle ID1: long lower wick >=40% of candle size (any candle color) OR strong bullish body (wicks <=20% each), candle size>=100 pi :: grid recovery adds every 100 pips (fixed distance) with lot +0.01/orde :: add explicit Max Order cap (added later in the RV1 follow-up); flat-lot test to isolate EM
EX096 | candlestick-pa | EURUSD | martingale | uncapped_martingale | 3 bearish candles (id4>id3>id2 body size descending) then id1 bullish engulfs id2's open -> buy, lot sized so SL loss ~= target US :: SL 15 pip / TP 30 pip (1:2 RR); optional account-wide cut-loss at -300 :: add a hard consecutive-loss cap or default-enable the existing -300 USD cut-loss switch; f
EX148 | candlestick-pa | EURUSD | martingale | no_sl,uncapped_martingale | EMA5 crosses above EMA25 at id1, AND (id2 or id3) is a large bullish candle breaking through both EMAs in one bar, AND id1 is a do :: grid/for-train adds every 20pips; trailing stop 10pips/step1 once >=2  :: add explicit hard order cap (sibling EX147/EX145 used 10-50); narrator himself flags this 
EX098 | candlestick-pa | XAUUSD | linear-add | no_sl | id3 bullish, id2 bearish (min body 100pip for id1/id3), id2-close above id3-open AND id1-close above id2-open (engulfing pattern)  :: TP 50pip on floating profit, no initial SL; on adverse move, grid-add  :: already capped at 20 orders/side with linear +0.05 lot growth (not pure martingale) - good
EX099 | candlestick-pa | EURUSD | grid-add | no_sl,uncapped_grid | id4,id3,id2 bullish trend candles (min body 4pip) then id1 pulls back bearish but closes above id2's open -> buy :: TP 30pip, no SL; on adverse move, grid-add re-entry every 40pip distan :: add an explicit max-grid-step cap (none stated) and a hard SL; the balance-tiered lot-sizi
EX138 | candlestick-pa | EURUSD | martingale | no_sl,martingale | candle ID1: long lower wick >50% of candle size (candle size>=10 pips) OR strong bullish body (wicks<=10%); AND EMA10>EMA50; AND c :: dynamic grid: recovery distance doubles each add (10->20->40->80 pips  :: already capped (10 orders/side); flat-lot test to confirm entry edge separate from dynamic
EX103 | candlestick-pa | XAUUSD | grid-add | no_sl | candle ID1 bullish (min body>=100pip) + candle ID2 bearish (min body>=1pip) + current price > candle ID2 open -> bullish engulfing :: no SL/TP; grid-add fixed 0.01 lot every 50pip (2x grid distance) in tr :: already loss-capped via money-based trailing stop and flat-lot by design; try a low-spread
EX101 | candlestick-pa | EURUSD | grid-add | no_sl | price below EMA50 by >20pip AND EMA3 crosses above EMA8 -> buy 0.15 lot :: close on profit>8pip (pip_total_sum); on adverse move, grid-add every  :: already capped at 20 orders with linear lot growth; default-enable the existing -25% equit
EX155 | candlestick-pa | XAUUSD | linear-add | no_sl | bullish inside-bar: ID3 up (body>=50pips), ID2 down small pullback not breaking ID3 open, ID1 up reversal closing above ID2 open ( :: no SL/TP; recovery adds every 60 pips confirmed by a small reversal-ca :: already capped 0.2 lot; author reports low DD (10.8%) and decent profit (17-18% over 9mo) 
EX160 | candlestick-pa | XAUUSD | fixed | none | EMA3 crosses above EMA8 at candle ID1, with ID3 bearish, ID2 bearish, ID1 bullish confirmation candle :: fixed SL 500 pips / TP 500 pips; on entry simultaneously opens an oppo :: already a clean fixed-risk structure (SL/TP capped, single hedge shot); build-on: add brea
EX117 | candlestick-pa | EURUSD | linear-add | no_sl,uncapped_grid | price below support line but within 100 pips of it, and a bullish engulfing pattern forms (body>=5pips, ID1 close > ID2 open) :: single-trade TP=30pips; if grid-recovery trades open (>1), TP=8pips pi :: add explicit lot/position cap on the 20-pip grid recovery ladder; author already suggests 
EX107 | candlestick-pa | XAUUSD | grid-add | uncapped_grid | candle ID1 bearish (min body>=50pip) AND current price > candle ID1 close by >50pip -> buy 0.01 lot, SL=lowest of 3-candle lookbac :: initial SL from 3-candle lookback, no TP; grid-add fixed 0.01 lot ever :: add explicit max-order cap to the unlimited pyramid (fixed-lot so risk is linear not expon
EX148 | candlestick-pa | XAUUSD | martingale | no_sl,uncapped_martingale | signal_ema flag stays ON for the whole EMA5>EMA25 uptrend window (activated once by a large breakout candle, not just at the cross :: grid/for-train adds every 100pips with trailing stop 60pips/step1; NEW :: the reversal-confirmation-before-averaging idea (wait for a small reversal signal before a
EX155 | candlestick-pa | unspecified (author demos on M1, mentions adaptable) | linear-add | no_sl | trend-following mode gate (Buy mode toggle) + bullish inside-bar pattern (ID3 up big-body>=50pips, ID2 down small body, ID1 up big :: no fixed SL/TP; trend-following add every 60 pips; recovery-mode add e :: already capped via Volume Upper Limit + Max Order=50; the ATR-scaled trailing-stop distanc
EX135 | candlestick-pa | BTC (bitcoin, per grid distance 10000 'pips' tuned for BTC); noted to need re-tuning per symbol e.g. EURUSD | linear-add | no_sl,uncapped_martingale | first buy opened manually via chart button (no logic, no SL/TP) :: FL-Train (winning) mode: grid-add every 10,000 pips then trailing stop :: engulfing-confirmed grid recovery (only adds after a reversal candle confirms, not blindly
EX170 | candlestick-pa | unspecified | martingale | uncapped_martingale | 3-candle pattern: candles ID3+ID2 bearish, ID1 bullish reversal closing above ID2 open -> draw support line; price dips back down  :: fixed SL 20 pips / TP 40 pips per order; optional break-even (breakeve :: add explicit max-step cap and a hard cut-loss (only informally mentioned, e.g. -$3000); fl
EX007 | candlestick-pa | EURUSD | martingale | no_sl,uncapped_martingale | group1 (spinning-top): ID1 bullish w/ both wicks>body, ID2&ID3 bearish min body 4pip; group2 (reversal): ID1,ID2,ID3 bullish min b :: close all (both groups) when pooled profit > $100; optional Cut_loss_M :: turn the optional Cut_loss_Mode ON by default and add per-order SL, not just an account-le
EX191 | candlestick-pa | EURUSD | martingale | no_sl,uncapped_martingale | candle ID2 body>=5pips (min body filter), ID2 bearish then ID1 bullish reversal whose body exceeds half of ID2 body (signal_level  :: no SL/TP shown in constants block; EA displays running MaxDD via equit :: add a Volume Upper Limit cap block on the custom-sequence lot output before deploying; the
EX178 | candlestick-pa | XAUUSD | martingale | martingale | EMA9 above EMA200 at ID1; EMA9 crossing above EMA26 at ID1; bullish engulfing pattern (ID2 bearish with min body, ID1 bullish, bod :: trailing stop 500 pips / step 100 pips (backtest fast setting; use ste :: already capped at 2 lots; flat-lot test first to isolate entry edge from martingale contri
EX006 | candlestick-pa | EURUSD | martingale | uncapped_martingale | ID1 bullish with both upper & lower wick > body size, ID2 & ID3 bearish (min body 4 pip) -> buy at ID0 open, martingale lot (init  :: SL 15 pip, TP 20 pip fixed :: add explicit step cap; author's own cross-year test is the key finding here - 2022 alone s
EX052 | candlestick-pa | EURUSD | grid-add, recovery adds gated by bullish/bearish engulfing pattern confirmation at 15-pip grid spacing | no_sl | price below EMA100 by more than ema_distance(25 pips) then EMA3 crosses above EMA8 (reversal confirmation) :: close first order plus profitable orders when profit_all (first-order  :: already capped at 15 orders; flat-lot test first; extend symbol/TF coverage; try linear/lo
EX193 | candlestick-pa | XAUUSD (gold) | unknown | no_sl | price>EMA200; WPR<-80 (oversold); bullish doji at ID1 (lower wick>upper wick, upper wick>body) :: ATR-scaled trailing stop (grid-distance*ATR-multiple), no fixed SL/TP; :: pair with the sister video's explicit lot-cap/step logic (same EA family, EX193 second vid
EX194 | candlestick-pa | unspecified | linear-add | no_sl | ID2 bearish doji (lower wick>upper wick>body, 2x body-size filter vs ID2), ID1 bullish confirming candle body>=2x ID2 body; group- :: trend-follow mode closes at 1% of balance profit; reverse/recovery mod :: the balance-percentage profit target (1% trend-mode vs 0.1% recovery-mode, called "rebalan
EX044 | candlestick-pa | EURUSD | martingale | no_sl,uncapped_martingale | ID4,ID3,ID2 three consecutive bullish candles each min body>=4 pips; ID1 is a pullback candle whose close stays above ID2's open ( :: TP 30 pips fixed, no SL; grid re-entry (add order) once price moves 40 :: add explicit max-step cap on the martingale ladder; flat-lot mode (lot_x=false) already ex
EX200 | candlestick-pa | unspecified | martingale | no_sl,martingale | Time Bomb Up block detects a 30-pip move within 10 seconds (impulse) AND it coincides with a bullish engulfing pattern (prior cand :: trailing stop scaled by ATR once >=2 orders open; martingale-recovery  :: capped at 50 orders (order-count only, no %-balance cut-loss shown); flat-lot test the imp
EX193 | candlestick-pa | XAUUSD (gold, implied) | linear-add | no_sl | EMA3>EMA100 trend filter; WPR<-80 oversold; bullish doji (lower wick>upper wick>body) at ID1 :: ATR-scaled trailing stop after 2+ orders; group closes on money-target :: already capped and step-add; author explicitly suggests testing buy-only vs sell-only vs b
EX194 | candlestick-pa | unspecified (tested Dec 2025 high-volatility month) | linear-add | no_sl | price>EMA200; bearish doji at ID2 (lower wick>upper wick>body, all bearish-shaped) then bullish engulfing at ID1 (body ID1>ID2) :: ATR-scaled trailing stop after 2+ orders (grid_distance*ATR multiple); :: already lot-capped/step-add; author notes this combo (doji then confirming engulfing) prod
EX005 | candlestick-pa | EURUSD | fixed | no_sl | ID1,ID2,ID3 bullish (min body 2 pip) followed by ID4,ID5,ID6 bearish (min body 2 pip) -> buy 0.1 fixed lot, no SL/TP :: close all buy+sell when combined profit > 15 pip; no SL/TP :: no martingale here, but no_sl is the key risk to fix - add a hard SL; author's own follow-
EX060 | candlestick-pa | EURUSD | grid-add | no_sl | price previously broke down through the auto support line, then retraces back up through it forming a bullish engulfing (ID2 beari :: basket close (buy+sell combined) when floating profit > 5 USD; optiona :: already capped; the auto S/R line logic (rolling 30-bar high/low with 10-bar staleness res
EX054 | candlestick-pa | EURUSD | martingale (FX Dreema built-in Custom Sequence block: on-loss lot multiplier sequence 2,3,5,8,13,21,33,53,85,136,218,349,558,839 x base lot, wraps back to step 1 after 14 steps; on-profit sequence resets multiplier to 1x base after any win) | martingale | prior candle (ID2) bearish with body_size>=20 pips, then reversal candle (ID1) bullish with body_size>=10 pips :: fixed SL 50 pips / TP 100 pips per individual order :: sequence is finite and each trade has its own SL (not classic uncapped martingale), but mu
EX170 | candlestick-pa | unspecified | martingale | uncapped_martingale | 3-candle pattern (ID3 bearish, ID2 bearish, ID1 bullish engulfing closing above ID2 open) with ID1 close above EMA200 :: fixed SL 300 pips / TP 500 pips; close basket at $30 profit if in foll :: implement the narrator's own suggested -$3000 hard cut-loss + terminate-EA-on-breach as an
EX008 | candlestick-pa | unspecified | martingale | uncapped_martingale | price below EMA100 (trend filter) + Double Hammer: ID1 & ID2 lower wick > upper wick, and ID1 body < ID1 upper wick -> buy marting :: SL 40 pip, TP 50 pip fixed :: add explicit step cap or switch to linear-add; the EMA100 trend filter (only take Hammer r
EX023 | ema-ma | unspecified | fixed | none | EMA5>EMA200 and EMA5 cross above EMA12 draws buy-fib (90-candle lookback low/high); price crossing up through any of 7 fib levels  :: fixed SL 15 pips / TP 30 pips per order; fib line + variables reset (d :: author states EA is incomplete (needs more entry/exit refinement); explicit build-on candi
EX023 | ema-ma | XAUUSD | grid-add | no_sl,uncapped_grid | price below EMA100 with EMA3 cross-down EMA8 draws sell-fib (auto); reverse case (price above EMA100, EMA3 cross-up EMA8) draws bu :: grid rescue: if losing, add same-direction order every 100 pips at fix :: revise-1 already shows strong backtest (2024 XAUUSD M1, 2111 orders, +186%, DD 25%); build
EX143 | ema-ma | EURUSD (tested Time Frame 15min in this video) | grid-add | no_sl | EMA_fast(3)>EMA_slow(8) (uptrend) and price within 60 pips of EMA_fast (not chasing an extended move) -> open first buy in group1 :: FL-train (profit-riding) mode: add same-direction lot every 60 pips pr :: already capped at 50 orders + 0.1 lot; build-on: swap market entries for pending limit ord
EX020 | ema-ma | EURUSD | martingale | no_sl,uncapped_martingale | EMA10>EMA100 and close(ID1) crosses above EMA10, bullish body(ID1)>=5pip -> buy 0.1 lot fixed, once per bar :: close all when combined floating profit(money)>$30; correction adds vi :: order-count is capped at 30 but the lot itself doubles unbounded - add an explicit lot cei
EX020 | ema-ma | XAUUSD | linear-add | no_sl | EMA10>EMA200 (uptrend) and close(ID1) crosses above EMA10 with bullish body>5pip -> buy 0.01 lot fixed, once per bar :: close all when combined floating profit(money)>$30; cut-loss closes+te :: already capped (15 orders, 0.2 lot ceiling, $3000 cut-loss); the 3-case correction decisio
EX101 | ema-ma | EURUSD | grid-add | no_sl | price below EMA50 by >20pip AND EMA3 crosses above EMA8 -> buy 0.15 lot (only one side open at a time) :: no fixed SL/TP on entry; two parallel post-entry modes: (1) forward/sn :: already capped at 20 orders; the profit-side snowball+trailing-stop addition is a good reu
EX021 | ema-ma | unspecified | martingale | no_sl | EMA3>EMA200 (trend zone) and EMA3>EMA8 (alignment), once per bar, min lot 0.01 :: group trailing stop 200pip/step10pip activated only once position exis :: already capped at 9 steps/3 lots with account-level cut-loss; try linear-add or log lot la
EX143 | ema-ma | EURUSD | grid-add | no_sl | unchanged from base EX143 (EMA fast>slow trend + distance filter) -- this video only patches bugs, does not redefine entry logic :: same as base EA but patched: (1) added Volume Upper Limit = 0.1 lot to :: this is a bugfix video for EX143 -- treat as a patch, not a new EA; the fixes (volume cap,
