file,lang,strategy_type,entry_signal,exit_mech,risk_mech,has_real_edge_candidate,novelty_note
2025-08\Dark_Gold_Full\Dark_Gold_Full.mq5,mq5,breakout,Dark Support/Resistance or manual SR; trend breakout over resistance/support or counter near levels,weighted avg/BE/money-per-point close + grid add-ons,martingale/grid,Y,support/resistance first-order gate with ATR-expanded grid distance and multiple grid MM modes
2025-08\GapFillRSI\GapFillRSI.mq5,mq5,reversion,daily gap fade: gap down/up then first-bar break with RSI confirmation,SL at first-bar extreme + target previous gap side + BE/partial close,fixed,Y,gap-fill state machine with RSI and anti-stacking
2025-11\AutoTrading Scheduler MT4\AutoTrading Scheduler\AutoTrading Scheduler.mq4,mq4,unknown,none; scheduler toggles autotrading/time rules,close positions/orders by schedule,fixed,N,autotrading scheduler utility
"2025-11\EMA 26,50 MACD\EMA 26,50 MACD\TEMPO_EMA_MACD_Dashboard V.4.mq5",mq5,momentum,price above/below EMA26/50 + MACD sign + ADX/+DI/-DI filter,fixed SL/TP + MACD zero-cross exit,fixed/pyramid,Y,EMA+MACD+ADX/DI dashboard with step-lot sizing
Dashboard\MQL4\MQL4\Experts\MACD Sample.mq4,mq4,momentum,classic MACD level plus MA trend filter,TP + trailing stop,fixed,Y,-
Dashboard\MQL4\MQL4\Experts\Moving Average.mq4,mq4,momentum,moving-average crossover/open-close sample,close on reverse MA signal,fixed,Y,-
Dashboard\MQL4\MQL4\Experts\XIMA_DASH.mq4,mq4,momentum,MA cross/dashboard triggers across many symbols,basket target/stoploss + per-symbol target,fixed/grid,Y,multi-symbol MA-cross dashboard/trader
Dashboard\MQL4\MQL4\Indicators\Basket_Stats_Time.mq4,mq4,unknown,none; indicator/stat dashboard only,none,fixed,N,basket stats time indicator
Dashboard\MQL4\MQL4\Indicators\hft_ea(1).mq4,mq4,scalper,time-window HFT signal with hidden SLTP and max order filters,TP/SL/trailing/breakeven/close-half,fixed,Y,time-zone HFT entry with hidden stop manager
Dashboard\MQL4\MQL4\Indicators\PatternFinding Correlation.mq4,mq4,unknown,pattern/correlation analysis can send order; exact pattern opaque,breakeven + trailing,fixed,Y,pattern-correlation analyzer feeding trade signal
Dashboard\MQL4\MQL4\Indicators\T101 Basket Trader v2.2.mq4,mq4,momentum,basket market-read/TLE open-close logic across configured pairs,basket TP/SL/BE/trail/hedge,fixed/grid,Y,T101 basket trade logic engine
Dashboard\MQL4\MQL4\Indicators\Universal_trailer.mq4,mq4,unknown,none; universal trailing manager using ATR/MA trail options,virtual/general trailing and no-loss,fixed,N,universal trailer utility
Test EA ok3\Indicator and Template\DJFIBO MT4\MQL4\Indicators\#Pallada_Tralling.mq4,mq4,unknown,"Fibo levels used for order modification/trailing, not clear new-entry signal",trailing/partial close levels,fixed,N,Fibo-based trailing/order modifier
wait for test\25 sep\AcceleratorBot_USDJPYH4.mq4,mq4,breakout,"morning/evening star, engulfing, doji plus ADX/Stoch context",TP/SL + trailing + autolot,fixed,Y,candlestick-pattern accelerator with ADX/Stoch context
wait for test\25 sep\usdjpy  M30~.mq4,mq4,unknown,time-of-day systems A-E only; no indicator signal visible,TP/SL,fixed,N,multi-session time-window system
wait for test\30 oct\template.mq4,mq4,grid,zone buy/sell + MA trend/candle window gate,profit close,grid,Y,zone line + MA trend fxdreema template
wait for test\4\TrioDancer_4.4.5.mq4,mq4,grid,MA period plus three sub-systems Jaipong/Keroncong/Tortor delays,per-system loss limit/stop-after-TP/max trades,grid,Y,three-engine dancer grid with per-engine delays/loss limits
wait for test\test 3\AI SCALPER v1.1.mq4,mq4,scalper,BB + RSI filter in scalper shell,SL + distance/start trailing,fixed,Y,BB/RSI scalper with compact trailing
wait for test\test 3\FXCOREGOLD V9 MQ4.mq4,mq4,grid,engine A/B grid with MA timeframe filter and best-direction helper,daily target/min-profit/grid hedge,martingale/grid,Y,dual-engine gold grid with MA filter and hedge/min-profit controls
wait for test\test 3\PSC-Trader.mq4,mq4,unknown,"script/helper for object/volume calculation, no EA entry signal",none,fixed,N,position-size/object helper
wait for test\test 3\RoNz Auto SL-TS-TP.mq4,mq4,unknown,none; SL/TP/trailing manager for existing orders,SL/TP/lock profit/trailing,fixed,N,auto SL-TS-TP utility
wait for test\test 3\WAYGROW.mq4,mq4,grid,profit-state filters and distance; no independent indicator signal found,trailing/breakeven/rapid manager,grid,N,profit-state growth manager
wait for test\test 3\XPERT2.mq4,mq4,breakout,history-file/price-action main orders with time windows; details obfuscated,TP/SL/trailing/max floating P/L/time close,fixed/grid,Y,offline-history driven XPERT main-orders module
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\UniversalMACrossEA.mq4,mq4,momentum,universal MA cross entry,reverse-condition close/trailing,fixed,Y,-
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\UniversalMACrossEA_Martingale.mq4,mq4,momentum,universal MA cross entry,reverse-condition close/trailing,martingale,Y,MA-cross template with martingale option
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Basket_Stats.mq4,mq4,unknown,none; basket stats display only,none,fixed,N,basket stats indicator
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\icarus_4.73 2022july27 EMA (1).mq4,mq4,grid,EMA/trend-filter options around Icarus grid,TP/profit lock/cycle equity risk/hedge,martingale/grid,Y,Icarus grid with EMA filter and cycle-risk controls
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Copiers\Copiers\TradeDuplicatorBeta\TradeDuplicatorClient.mq4,mq4,unknown,none; copies remote/master orders,stray close/order sync,fixed/grid,N,trade duplicator client
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Genie RSI\Genie RSI\genie_rsi(1).mq4,mq4,reversion,RSI period threshold entry,TP + trailing,fixed,Y,-
