name,kind,verdict,verdict_date,symbols_tested,TFs_tested,lever_rounds_evidence,best_PF_seen,class_claimed,source_file,source_anchor
"EA_SUPERTREND v1 naked (XAU H4)","EA","PARKED - loses to KER (corr 0.946 sibling, fallback)","2026-07-02","12: XAU(pass) GBPJPY XAG EUR GBP US30 AUDJPY USDJPY GBPCHF CHFJPY NZDUSD +1","2: H4(pass) H1(0.93) + MTF mode1/mode2","full pipeline on XAU: smoke 3.32 -> IS/OOS M4 1.54/4.49 -> MC PF-5th 1.57 ruin 0; 12-symbol hunt = default-params smoke only, 0 additive legs (US30 IS 3.31/OOS 0.13 artifact)","4.49 OOS XAU","PARAMETRIC (symbol-specific edge)","EA_SCORECARD_AND_REGISTRY.md + signal-landscape","VALIDATED RESERVE + SuperTrend #68 entries"
"(Boss)_ZeusInspired_GridLog x AUDUSD","cell","REJECT for deploy (regime-only: OOS 1.78 was same-regime 2025-26)","2026-07-03","(family screened 27 FX symbols)","1: H1","27-symbol screen M1 + IS/OOS retention 1.09 + DD-scale + MC + BWD 2020-24: 2023 = 4 trades, 2024 = 8 trades PF 0.41","1.78 OOS","artifact (regime)","EA_SCORECARD_AND_REGISTRY.md","FRESH TEMPLATE ZeusInspired row - BWD-OOS round 3"
"(Boss)_ZeusInspired_GridLog x AUDJPY","cell","PARKED regime-dependent (no deployable config under 3-year window + DD budget)","2026-07-03","(same 27-symbol screen)","1: H1","full funnel: IS/OOS retention 0.87, DD-scale 20x, MC, BWD 2020-22 profitable all 3 years BUT 2023 eqDD 36% at 20x -> resize 8x full 3.5y = PF 1.12 < gate 1.20","3.80 (2024 year-split)","PARAMETRIC (regime-dependent)","EA_SCORECARD_AND_REGISTRY.md","ZeusInspired row FINAL round 4"
"(Boss)_ZeusInspired_GridLog x EURUSD","cell","DEAD (swept, not default)","2026-07-10","1: EURUSD","1: H1","ORDER-069: 216-pass coarse sweep 5 levers (DistAtrMult x SlAtrMult x BaseLot x DdAdaptive x PartialFrac), gate PF>=1.3 & T>=60 & eqDD<=15 -> 0/216, PF ceiling 1.138","1.14","PARAMETRIC (swept to ceiling)","memory signal-landscape.md + AGENT_TASKBOARD.md","2026-07-10 entry + ORDER-069"
"(Boss)_ZeusInspired_GridLog x XAUUSD","cell","MARGINAL - demo cohort #5 (magic 990101)","2026-07-08","1: XAUUSD","1: H1","optimized until 'found its home (gold)' per 07-08 session; funnel instrument/TF/param/holdout/MC per session summary; MaxDD ~4%","(not recorded in swept sources)","n/a (pass-marginal)","PROJECT_STATE.md (referenced from taskboard)","SESSION 2026-07-08 demo cohort table"
"Zeus Gold Hedge V1.2 (locked MT4)","EA","REJECT - low score, not hard gate (re-scored); 07-10 note: EURUSD 3.5y live-survivor cell = escalation luck not transferable edge","2026-07-03","2: XAUUSD EURUSD","1: H1","full Model ladder 2->1->0 BOTH symbols before verdict; M1 false-PASS artifact caught (PF 1.89 +801K implausible); M0: XAU 1.01/DD85.6 EU 0.87/DD79; mechanism penalty -25 (uncapped grid SL=0)","1.61 (locked EU cell) / 1.89 (M1 artifact)","STRUCTURAL (uncapped grid) + Risk fail","EA_SCORECARD_AND_REGISTRY.md + signal-landscape","MT4 SCREENED Zeus row + 2026-07-10 companion lesson"
"Boss_14_GridLog x AUDNZD (990202)","cell","DEMO cohort #1 champion","2026-07-04","(family: 15-symbol sweep + probes)","1: H1","~700 configs searched, fresh-OOS 3.02/42t, plateau-sensitivity 8/8 pass (perfect plateau), Model-4 real ticks 3.37/44t, corr matrix clean","3.37 M4","n/a (pass)","EA_SCORECARD_AND_REGISTRY.md + AGENT_TASKBOARD.md","Boss_14 row + ORDER-014/016/022"
"Boss_14_GridLog x USDJPY (990201)","cell","DEMO cohort #1 (tightest sample)","2026-07-04","(family sweep)","1: H1","fresh-OOS 2.77/106t; Model-4 1.72/107t; plateau moderate - cracks when step/TP narrowed (forbidden below DEMO values)","2.77 OOS","n/a (pass)","EA_SCORECARD_AND_REGISTRY.md","Boss_14 row + ORDER-014/022"
"Boss_14_GridLog x EURJPY (990203)","cell","DEMO (fill-sensitive - size below peers)","2026-07-04","(family sweep)","1: H1","13/54 optimizer passes >=1.2&n>=60 best 2.49; OOS 2.15/23t thin; Model-4 1.51/110t eqDD 10% vs M1-class ~2.5 = FILL-SENSITIVE; plateau-sensitivity 1/8 = sharpest ridge","2.49 (IS opt)","n/a (pass w/ ridge warning)","EA_SCORECARD_AND_REGISTRY.md","Boss_14 row + ORDER-022"
"Boss_14_GridLog x AUDCAD (990204)","cell","DEMO cohort-2","2026-07-04","(family sweep)","1: H1","OOS 4.30/41t every year positive; plateau-sensitivity 5/8 no negative flips; Model-4 confirm; MC clean","4.30 OOS","n/a (pass)","EA_SCORECARD_AND_REGISTRY.md","Boss_14 row + ORDER-015/016/017"
"Boss_14_GridLog x CADJPY (990205)","cell","DEMO-thin","2026-07-04","(family sweep)","1: H1","OOS 1.98/26t thin; plateau-sensitivity 2/8 = ridge (confirms thin with independent evidence)","1.98 OOS","n/a (pass-thin)","EA_SCORECARD_AND_REGISTRY.md","Boss_14 row + ORDER-022"
"Boss_14_GridLog x EURUSD-SELL (990206)","cell","DEMO-thin (diversity)","2026-07-04","(family sweep)","1: H1","OOS 2.35/18t (<20t = not enough data rule); every year >=1.47; plateau moderate","2.35 OOS","n/a (pass-thin)","EA_SCORECARD_AND_REGISTRY.md","Boss_14 row + ORDER-015/016"
"Boss_14_GridLog x XAUUSD (XAU GridLog, 990207)","cell","CANDIDATE #7 non-FX (passed full pipeline) - DEMO set built","2026-07-05","(scan via BasketTP_ATRmult mold upgrade)","1: H1","54-pass IS-optimize -> plateau-center Pass 20 -> fresh-start OOS 1.15/196t + full 1.42 all years positive -> Model-4 real ticks +$5078/DD19.95 (edge survived) -> MC ruin 0%","1.76 (in-sample scan)","n/a (pass)","EA_SCORECARD_AND_REGISTRY.md","Boss_14 row + ORDER-028/030/031"
"Boss_14_GridLog x GBPAUD","cell","PARKED (full pipeline round 1 done - failed fresh-start OOS)","2026-07-04","(family sweep)","1: H1","IS-opt PF 1.71/88t (no-look-ahead verified) + MC pass (DD worst 7.97 ruin 0) BUT fresh-start OOS 2025.07-26.07: 23t PF 0.49 -$329; wins only in trend 2023-H1'25; dormancy masks hostile periods","1.71 IS","artifact (regime-dependent, Zeus-like)","EA_SCORECARD_AND_REGISTRY.md","Boss_14 row + ORDER-001/004"
"Boss_14_GridLog x EURCHF","cell","DEAD-optimized","2026-07-04","(family sweep)","1: H1","0/54 optimizer passes; best n>=60 = PF 1.04","1.04","PARAMETRIC (swept to ceiling)","EA_SCORECARD_AND_REGISTRY.md","Boss_14 row optimizer probe"
"Boss_14_GridLog x USDCHF","cell","DEAD-optimized","2026-07-04","(family sweep)","1: H1","optimizer probe - registry closed permanently ('DEAD-opt: EURCHF/USDCHF')","(sub-gate)","PARAMETRIC (swept)","EA_SCORECARD_AND_REGISTRY.md","Boss_14 row"
"Boss_14_GridLog x US30","cell","DEAD-optimized permanent (closed like USDCHF)","2026-07-09","1: US30","1: H1","recon 4 variants 0.78-0.96 then IS optimize 72 rows -> 13 pass -> plateau-center Pass 7 (IS 1.53/218t) -> fresh OOS PF 1.03 flat + BWD 2020-22 PF 0.86; swept + surface + both regimes per gate","1.62 (IS plateau)","artifact (IS selection-fit of US30 climb 2023-25)","AGENT_TASKBOARD.md","ORDER-043"
"Boss_14_GridLog x XAGUSD","cell","PARK-thin (gold stronger)","2026-07-05","1: XAGUSD","1: H1","IS-optimize parallel to XAU: only 4 qualifying passes, high-PF cell = 27t artifact","(thin/artifact)","PARAMETRIC-thin","EA_SCORECARD_AND_REGISTRY.md + AGENT_TASKBOARD.md","ORDER-032"
"Boss_14_GridLog x NZDUSD-SELL","cell","PARKED regime-dependent (closed this SELL hunt)","2026-07-04","(from SELL-side XML mining)","1: H1","fresh-start OOS 9t/PF1.47 looked fine but year-split: 2024 = 2 trades, 2025 PF 0.88 -$29; profit clustered 2023/2026 only (2/4 years positive) - fails all-years-positive bar","1.94 (full window)","PARAMETRIC (regime)","EA_SCORECARD_AND_REGISTRY.md + AGENT_TASKBOARD.md","ORDER-020/023"
"Boss_14_GridLog x GBPJPY / NZDUSD / USDCAD (+5 pending)","cell","WATCH / PARKED-pending-probe","2026-07-04","8: GBPJPY NZDUSD USDCAD GBPUSD EURUSD +3","1: H1","defaults 0.68-1.13 only; GBPJPY OOS 1.12 borderline; NZDUSD losing year 2025; USDCAD losing year 2023; never probed with optimizer (except via ORDER-062 regime axis)","1.30 (AUDNZD default ref)","unknown (default-only)","EA_SCORECARD_AND_REGISTRY.md","Boss_14 row sweep 1+2"
"Boss_14 Recovery mode 81 (Light)","concept","REJECT closed permanently","2026-07-05","1: AUDNZD (champion A/B)","1: H1","A/B on champion: PF 1.56->1.33, DD up, 2024 flips negative - first backtest of Recovery 81/82 ever","(worse than base)","STRUCTURAL (recovery adds no value)","EA_SCORECARD_AND_REGISTRY.md + AGENT_TASKBOARD.md","ORDER-024"
"Boss_14 Recovery mode 82 (Adaptive)","concept","REJECT closed permanently - M1 lift was artifact","2026-07-05","3: AUDNZD USDJPY AUDCAD","1: H1","Model-1 showed 82 better (1.73>1.56) = artifact; Model-4 real ticks: mode 80 PF 3.37/44t vs mode 82 PF 1.50/118t (PF halved, trades x3 churn); generalization failed (AUDCAD PF down)","1.73 (M1 artifact)","artifact (fill)","EA_SCORECARD_AND_REGISTRY.md + AGENT_TASKBOARD.md","ORDER-025"
"Boss_14 HEDGE_LOCK layer","concept","closed branch - dormant no-op (re-examine only if a config has DD>8%)","2026-07-05","1: AUDNZD","1: H1","HedgeMode=1 identical numbers to baseline (1.56/195t) - trigger 8% never fired (DD ~4%)","n/a","unknown (untriggered)","EA_SCORECARD_AND_REGISTRY.md + AGENT_TASKBOARD.md","ORDER-026"
"Regime _50_ lever x XAU GridLog (ORDER-057 Stage B)","cell","in-sample real - adopt as NEW funnel axis only (no retrofit to validated cohort)","2026-07-09","1: XAUUSD","1: H1 (regime TF H4)","thr {20,25,30} plateau: BWD 1.07->1.88/1.88/1.82 net 121->799, FWD 1.42->1.39, eqDD down both windows; MC ALL 0.829->0.852; mode2 <= mode1 every cell","1.88 (BWD gated)","n/a (in-sample selection acknowledged)","AGENT_TASKBOARD.md","ORDER-057 Stage B VERDICT"
"Regime _50_ lever x AUDNZD champion","cell","no-adopt (helps one window hurts the other)","2026-07-09","1: AUDNZD","1: H1","m1t20: FWD 1.53 up / BWD 0.74 down; m1t25 opposite; thr30 loses ~75% trades = thin; no plateau","(flip)","PARAMETRIC (no plateau)","AGENT_TASKBOARD.md","ORDER-057 Stage B"
"Boss_14 regime-refunnel x USDJPY m1t25","cell","CANDIDATE -> Boss V2 bench (in-sample-selected, waits for track unpark)","2026-07-09","1: USDJPY","1: H1","48-run family matrix + t20/t25 same direction (plateau); year-split: recovery spread across all years, 2020 -1151->-46; MC PF-5th 0.946 -> 1.203","1.65 (BWD t25)","n/a (candidate)","AGENT_TASKBOARD.md","ORDER-062 + validation follow-up"
"Boss_14 regime-refunnel x EURJPY m1t25","cell","CANDIDATE #2 (plateau confirmed on recheck)","2026-07-09","1: EURJPY","1: H1","fine-sweep t{23,25,27}: BWD 1.17/1.23/1.27 all >= base, DD 11.9->~6%, FWD 2.42/2.79/2.03 = 3-point plateau; year-split gated positive all years 2020-2026; MC 1.202->1.346","2.79 (FWD t25)","n/a (candidate)","AGENT_TASKBOARD.md","ORDER-062 Recheck"
"Boss_14 regime-refunnel x GBPAUD/CADJPY/EURUSD/AUDCAD/NZDUSD/GBPJPY","cell","REJECT (6 cells; lever is home-picking not universal)","2026-07-09","6: GBPAUD CADJPY EURUSD AUDCAD NZDUSD +GBPJPY","1: H1","48-run matrix {base,m1t20,m1t25} x {FWD,BWD}; EURUSD: gate broke grid dynamics (trades 189->425, DD 11->20-24%); GBPJPY t20/t25 flip poles","(no recovery)","PARAMETRIC","AGENT_TASKBOARD.md","ORDER-062 VERDICT"
"(Boss)_SessionBreakout_rev01","EA","DEAD - thoroughly killed do NOT revisit","2026-06-23","1: XAUUSD","1: M15","1,200-pass EXHAUSTIVE sweep ceiling PF 1.20 + forward 0.91","1.20 (ceiling)","PARAMETRIC (exhaustively swept)","EA_SCORECARD_AND_REGISTRY.md","FRESH TEMPLATE table"
"(Boss)_RSI_Swing_BB_rev01","EA","DEAD confirmed (kill upgraded smoke->optimized)","2026-06-23","1: EURUSD (XAU planned not run)","1: H1","27-combo sweep IS+OOS, best min-PF 0.99 breakeven, nothing >=1.2; 'martingale was the edge' CONFIRMED","1.03 (smoke)","STRUCTURAL (naked signal has none)","EA_SCORECARD_AND_REGISTRY.md","FRESH TEMPLATE table"
"(Boss)_TrendRegression_rev01","EA","DEAD confirmed (kill upgraded smoke->optimized)","2026-06-23","1: XAUUSD","1: H1","27-combo sweep IS+OOS, best min-PF 0.91, all losing; matches momentum>reversion thesis","0.91","PARAMETRIC (swept)","EA_SCORECARD_AND_REGISTRY.md","FRESH TEMPLATE table"
"(Boss)_NRBreakout_rev01","EA","PARKED-final (ceiling 1.31) - earlier PARKED->lean DEAD","2026-07-04","1 (partial multi)","1: H1","ORDER-008B re-exam: 81-pass probe, 3/81 qualifying, best-pass got cheap OOS check in ORDER-016; original kill was partial sweep all sub-gate","1.31","PARAMETRIC (swept, thin)","AGENT_TASKBOARD.md","ORDER-008B"
"EA_GoldenEmber_Pivot (Boss 6 MTF Range Pivot)","EA","DEAD - do NOT revisit pivot-range on NZDUSD","2026-06-28","1: NZDUSD","1: H1 (M5-entry pass failed to run)","IS 1.01/DD24.66/116t + OOS(2021-23) 1.05/DD25.79; best optimizer robust pass PF 2.44 collapses to 1.01 on full IS = curve-fit","2.44 (optimizer artifact)","artifact (curve-fit) + flat edge","EA_SCORECARD_AND_REGISTRY.md + signal-landscape","FRESH TEMPLATE + GEP entry"
"EA_LNBREAK (London->NY breakout)","EA","DEAD-optimized (re-exam validated the original kill - closed permanently)","2026-07-04","5: GBPUSD EURUSD XAUUSD USDJPY GBPJPY","1: H1","original: 5-symbol smoke 0.78-1.09 + TP4 retry 1.09; ORDER-008B re-exam: 0/81 optimizer passes, best 1.048","1.09","PARAMETRIC (swept, math-breakeven 40%WRx1.5RR)","MASTER_BACKLOG.md + AGENT_TASKBOARD.md","TASK 3 + ORDER-008B"
"MACD crossover (naked + all filters)","concept","DEAD structural ceiling - exhaustive","2026-06 (pre-06-23)","8+: GBPUSD EURUSD USDJPY AUD NZD +JPY crosses","1: H1","exhaustive multi-symbol sweep; ALL filters (RSI/EMA/ZLF/count) top ~1.0-1.11; all fail OOS","1.16","STRUCTURAL (ceiling)","EA_SCORECARD_AND_REGISTRY.md","SIGNAL/FILTER RESEARCH table"
"BB+RSI mean-reversion (EA_RUNNER)","concept","DEAD (same ~1.1 ceiling as MACD)","2026-06","2: EURUSD XAUUSD","1: H1","partial sweep (conf 2-star); ceiling ~1.1","1.11","STRUCTURAL (ceiling)","EA_SCORECARD_AND_REGISTRY.md","SIGNAL/FILTER RESEARCH"
"BREAKOUT LabTpl x EURUSD / GBPJPY","cell","DEAD - edge is XAU-specific","2026-06","2: EURUSD GBPJPY","1: H1","optimizer 0/180 and 0/175 survivors","1.03","PARAMETRIC (swept to zero)","EA_SCORECARD_AND_REGISTRY.md","SIGNAL/FILTER RESEARCH"
"BREAKOUT both-dir x US30/WTI/BRENT/XAGUSD/GBPJPY","cell","DEAD (new-instrument smoke)","2026-06-26","5: US30 WTI BRENT XAGUSD GBPJPY","1: H1","default params only, Model 2, 2023-26; oil/index thin trades (XAU-tuned bars)","0.97","unknown (default-only)","EA_SCORECARD_AND_REGISTRY.md + signal-landscape","SIGNAL research + DEAD concepts list"
"BREAKOUT buy-only x XAGUSD","cell","REJECT structural - do NOT re-test buy-only BRK on XAGUSD","2026-06-28","1: XAGUSD","1: H1","smoke 1.45 -> IS 1.47 -> OOS(2020-23) 0.78; 72-combo coarse plateau shallow (12/72); NOT param-dependent: best-IS params give OOS 0.65","1.47 IS","STRUCTURAL (silver regime hostile to buy-only)","EA_SCORECARD_AND_REGISTRY.md + signal-landscape","XAGUSD buy-only entries"
"BREAKOUT both-dir x USDJPY","cell","REJECT (WATCH->optimized->dead)","2026-06-26","1: USDJPY","1: H1","12-combo (BreakoutBars x TpAtrMult) IS/OOS: 0 clear OOS>=1.40; high-TP curve-fit yen 2023-24 (IS 2.0-2.54/OOS 0.68-0.88); low-TP caps ~1.18","2.54 IS (curve-fit)","artifact (regime curve-fit)","memory signal-landscape.md","USDJPY breakout REJECTED entry"
"Vol-gate / ADX trend-gate on ST03","concept","filters DEAD (tail not reactively filterable)","2026-06-26","1: GBPUSD","1: H1","vol-gate built+tested (saves gap events only, ~0 calm cost); ADX gate FALSIFIED - made every crisis worse AND cut calm -21% (ADX lags)","n/a","STRUCTURAL","EA_SCORECARD_AND_REGISTRY.md","SIGNAL research + ST03 row"
"EA_NR7 (#105 vol-contraction breakout)","concept","concept FULLY DEAD - do not re-test on any instrument","2026-06-28","6: XAUUSD XAGUSD USDJPY GBPJPY GBPUSD +H4 cells","2: H1 H4","8 cells smoked default params + 3 IS/OOS runs (XAU H4 IS 1.08, XAU H1 IS 1.06, XAG H4 IS 0.68 deep fail); 100% of smoke 'proceeds' were 2025-26 bull artifacts; no param sweep done","1.40 (XAG smoke)","artifact (regime) - IS failure structural","MASTER_BACKLOG.md + signal-landscape","TASK 1 + NR7 entries"
"EA_ASIANRANGE (#70 Asia->London breakout)","concept","concept FULLY DEAD - no re-test any pair/session offset","2026-06-28","4: GBPJPY USDJPY GBPUSD EURUSD","1: H1","4 cells default + session-offset lever (UTC0-8 vs UTC+3): PF 0.82-0.96, high trade counts (443-580) confirm signal fires but worthless","0.96","STRUCTURAL (no edge, high-n)","MASTER_BACKLOG.md + signal-landscape","TASK 2 + ASIANRANGE entry"
"EA_EURCHF bounded-range (BB+RSI reversion)","concept","DEAD - do not build","2026-06-27","1: EURCHF","1: H4","single default smoke: PF 0.74/507t (worst of batch)","0.74","unknown (default-only, 1 cell)","MASTER_BACKLOG.md + signal-landscape","concept C"
"EA_EMATREND (#20 EMA20/50 cross + pyramid)","concept","concept DEAD closed - all 10+ symbols; do not re-test EMA-cross on any symbol/TF","2026-07-02 (XAU gap closed)","10+: USDJPY GBPUSD GBPJPY XAU USDCHF +6","1: H4 (+pyramid variant on XAU/GBP)","multi-symbol smoke + IS/OOS + 11-year extended checks (2015-22 deeply negative) + trail sweep {1.0,2.0 ATR} + pyramid A/B (StackMode 91: XAU 0.87->0.99 = pyramid does not rescue)","2.72 (XAU OOS, 6t noise)","artifact (regime windows)","MASTER_BACKLOG.md + signal-landscape","EA_EMATREND entries"
"EA_DONCHIAN (#94 Turtle 55-bar)","concept","DEAD - 0 additive legs; do not re-hunt Donchian","2026-06-27","6: XAUUSD GBPJPY USDJPY XAGUSD GBPUSD EURUSD","1: H4","DonchPeriod sweep d8/d20/d40/d55 on XAU (all <1.30 gate) + USDJPY IS/OOS 1.53/0.81 collapse","1.53 IS","artifact (JPY regime)","MASTER_BACKLOG.md + signal-landscape","EA_DONCHIAN entries"
"EA_PREVDAY (#9/#30 prev-day H/L breakout)","concept","DEAD - do not re-test on XAU or FX","2026-06-27","4: XAUUSD GBPUSD GBPJPY USDJPY","2: H1 (H4 worse 1.06)","default + 2 iterations (buf=0.5xATR worse 1.15; H4 worse); no config clears 1.30","1.19","STRUCTURAL (daily-level false-breakout rate)","MASTER_BACKLOG.md + signal-landscape","EA_PREVDAY entries"
"EA_KELTNER (#62 channel breakout)","concept","DEAD","2026-06-27","4: XAUUSD GBPJPY USDJPY GBPUSD","1: H4","default params only, single smoke per symbol","1.04","STRUCTURAL (momentum-chasing claim)","MASTER_BACKLOG.md + signal-landscape","EA_KELTNER entry"
"EA_ICHIMOKU (#66 Kumo breakout + ADX)","concept","DEAD","2026-06-27","2: XAUUSD GBPJPY","1: H4","default params only, single smoke per symbol; PF 1.13 best-ever XAU Win% but DD 9.96","1.13","STRUCTURAL (cloud lags claim)","MASTER_BACKLOG.md + signal-landscape","EA_ICHIMOKU entry"
"EA_ZSCORE (#100 Z-score reversion)","concept","DEAD - do not re-test Z-score reversion on FX","2026-06-28","2: EURUSD EURGBP","1: H4","default smoke only (PF 1.15 / 0.95); momentum>reversion prior confirmed","1.15","unknown (default-only)","memory signal-landscape.md","4-concept new-build batch"
"EA_XAU_NY (#83 NY session breakout)","concept","DEAD - session filter added no edge","2026-06-28","1: XAUUSD","1: H1","default smoke only PF 1.12/350t","1.12","unknown (default-only)","memory signal-landscape.md","4-concept batch"
"EA_IB_OCO (#135 inside-bar OCO)","concept","DEAD - do not rebuild (vol-contraction family dead)","2026-06-28","2: XAUUSD GBPUSD","1: H4","default smoke only (0.92 / 0.94)","0.94","unknown (default-only)","memory signal-landscape.md","4-concept batch"
"HalfTrend_MTF_EA","EA","UNTESTABLE / DROP (skip - not worth code-fix time)","2026-06-28","2: XAUUSD GBPUSD","2: H4+D1","3 configs tried (ATR100 default, ATR14, no-filter) = 0 trades everywhere; hardcoded MaxSpread=30 bug","n/a (0 trades)","unknown (untestable)","memory signal-landscape.md","HalfTrend entry"
"MT4 gold-grid concept (Golden Elephant/Mammoth + Gold Stuff V7 + KRAPOOK)","concept","concept DEAD confirmed - do not re-open without a different gold-grid EA","2026-07-02","1: XAUUSD(MINI)","1: H1","Model-ladder artifact gate: Elephant PF 85.14 (M2) -> 1.41 (M1) DD 53.65%/yr at MaxOrder=4; Gold Stuff M1 PF 2.20 but DD 77%/yr; KRAPOOK expired not re-tested","85.14 (M2 artifact)","artifact + STRUCTURAL","MASTER_BACKLOG.md + EA_SCORECARD","TASK 5 + MT4 SCREENED rows"
"EA_Golden_Elephant / Mammoth","EA","DISQUALIFIED->DEAD re-confirmed (Mammoth = identical binary MD5)","2026-07-02","1: XAUUSD","1: H1","TP200->2000 lever collapsed PF 7.77->0.06 = tight-TP artifact; Phase-2 Model 1 re-test PF 1.41 DD 53.65%/yr","7.77 (M2 artifact)","artifact","EA_SCORECARD_AND_REGISTRY.md","MT4 SCREENED"
"Gold Stuff EA V7.0","EA","DISQUALIFIED re-confirmed (structural + empirical); lot-check x61/x34 re-confirmed in ORDER-036 b24","2026-07-02","1: XAUUSD","1: H1","mechanism gate: iMO=100 + SL=0 + MM=1.5 = uncapped; Model 1 1yr: PF 2.20 but DD 77.11%/yr - no sizing fix per Step-0","5.09 (screen)","STRUCTURAL","EA_SCORECARD_AND_REGISTRY.md","MT4 SCREENED"
