magic,ea_name,symbol,account,basket_id,pf_expected,pf_basis,trades_per_month_expected,dd95_expected,dd95_basis,source_evidence,recorded_date,notes
7777,Zeus Gold Hedge V1.2_fix,EURUSDc,141049900,,1.61,plain,UNKNOWN,UNKNOWN,UNKNOWN,DEMO_DEPLOYMENT_PLAN.md line 305 (141049900 real-account row -- Zeus EURUSD cell that's actually running),2026-07-23,pf_expected raw: 1.61 (H1 cell actually running; note: a separate M0-default sweep in EA_MASTER_INDEX.csv reports REJECT EU-PF 0.87 for a different/earlier config -- not reconciled) | NEEDS_MC
1112,Gold_Kangaroo L1,XAUUSDc,141049900,,4.86,plain,UNKNOWN,UNKNOWN,UNKNOWN,_triage/KANGAROO_LOGIC_NOTES.md section 3i + addendum (6242t over 2023.01-2026.07 combined; MagicStart=1111 spawns streams 1112-1115),2026-07-27,"pf_expected raw: 4.86 (H1 x1.5-ladder default; combined 4-magic-stream basket total -- NOT separable per leg; 'ยังไม่ validated' per DEPLOYMENTS notes) | NEEDS_MC | ORDER-400 2026-07-27: trades_per_month_expected was 148.60 on EACH leg, but 148.60 IS the 4-stream BASKET total (6242t / 42mo). Comparing a basket expectation against one leg's closes inflated it 4x and produced a false UNDER_RATE on all four legs. Basket reality: 168 closes / 62d = 19.0/wk observed vs 34.3/wk basket-expected = 55% -- above the 50% gone-quiet threshold, i.e. NOT silent. Set to UNKNOWN because the per-leg split is not in evidence and an even split would be a fabricated number (observed legs are 63/37/42/26, not 4x equal). Restore a real per-leg figure only from a per-magic backtest count; basket-level rate drift belongs to the CR-005 full drift engine."
1113,Gold_Kangaroo L2,XAUUSDc,141049900,,4.86,plain,UNKNOWN,UNKNOWN,UNKNOWN,_triage/KANGAROO_LOGIC_NOTES.md section 3i + addendum (same combined-basket figure as L1; per-leg split not in evidence),2026-07-27,"pf_expected raw: 4.86 (H1 x1.5-ladder default; combined 4-magic-stream basket total -- NOT separable per leg) | NEEDS_MC | ORDER-400 2026-07-27: trades_per_month_expected 148.60 removed -- basket-level figure, see magic 1112 note."
1114,Gold_Kangaroo L3,XAUUSDc,141049900,,4.86,plain,UNKNOWN,UNKNOWN,UNKNOWN,_triage/KANGAROO_LOGIC_NOTES.md section 3i + addendum (same combined-basket figure as L1; per-leg split not in evidence),2026-07-27,"pf_expected raw: 4.86 (H1 x1.5-ladder default; combined 4-magic-stream basket total -- NOT separable per leg) | NEEDS_MC | ORDER-400 2026-07-27: trades_per_month_expected 148.60 removed -- basket-level figure, see magic 1112 note."
1115,Gold_Kangaroo L4,XAUUSDc,141049900,,4.86,plain,UNKNOWN,UNKNOWN,UNKNOWN,_triage/KANGAROO_LOGIC_NOTES.md section 3i + addendum (same combined-basket figure as L1; per-leg split not in evidence),2026-07-27,"pf_expected raw: 4.86 (H1 x1.5-ladder default; combined 4-magic-stream basket total -- NOT separable per leg) | NEEDS_MC | ORDER-400 2026-07-27: trades_per_month_expected 148.60 removed -- basket-level figure, see magic 1112 note."
990201,Boss_14_GridLog,USDJPYm,415573666,,1.51,plain,6.98,7.25,MC95_bootstrap_5000it_fullpin,"DEMO_DEPLOYMENT_PLAN.md Boss_14 GridLog cohort table row 1 (OOS 2.77/106t; plateau-fragile note: do not tune step/TP below this) | dd95: MC bootstrap 5000 iters on _mt5_auto/reports/O166_B14_USDJPY_M4.htm (ORDER-166 fresh full-pin M4 MAIN 2023.01-2025.12, leverage 1:100 asserted; 252t, PF1.19 matches ORDER-166/172 cross-check exactly) | trades_per_month_expected: 252 trades over 2023.01.01-2025.12.31 (156.4 weeks) in _mt5_auto/reports/O166_B14_USDJPY_M4.htm",2026-07-23,"pf_expected raw: 1.51 (full-confirm) | dd95_expected raw: 7.25% (MC DD_95th, bootstrap 5000it on fresh full-pin report; CAVEAT: this is a log-scaled grid/DCA EA (_05_LogFactor escalation) -- trade-reshuffle MC assumes exchangeability but grid losing legs cluster/correlate, so treat 95th-pct as an optimistic lower bound per mt5_montecarlo.py docstring; ORDER-159 backfill) | ORDER-942 2026-08-02: rate DERIVED as trades / window-weeks * 52/12 from the report this row already cited. It replaces the sentinel UNKNOWN, which made ""silent"" and ""thin"" indistinguishable for this leg."
990202,Boss_14_GridLog,AUDNZDm,415573666,,1.56,plain,3.83,5.97,MC95_bootstrap_5000it_fullpin,"DEMO_DEPLOYMENT_PLAN.md Boss_14 GridLog cohort table row 2 (sensitivity 8/8) | dd95: MC bootstrap 5000 iters on _mt5_auto/reports/O166_B14_AUDNZD_M4.htm (ORDER-166 fresh full-pin M4 MAIN 2023.01-2025.12, leverage 1:100 asserted; 138t, PF1.09 -- matches ORDER-166/172 cross-check exactly)",2026-07-24,"pf_expected raw: 1.56 (full-confirm) | dd95_expected raw: 5.97% (MC DD_95th, bootstrap 5000it on fresh full-pin report; CAVEAT: log-scaled grid/DCA EA -- trade-reshuffle MC is an optimistic lower bound on tail risk per mt5_montecarlo.py docstring; ORDER-159 backfill) | trades_per_month_expected backfilled 2026-07-24 (18 shortfall triage): 138t / 36mo (same MAIN window already cited above), not a guess"
990203,Boss_14_GridLog size-light,EURJPYm,415573666,,2.49,plain,3.56,7.28,MC95_bootstrap_5000it_fullpin,"DEMO_DEPLOYMENT_PLAN.md Boss_14 GridLog cohort table row 3 (sensitivity 1/8 fill-sensitive -- size light at promote) | dd95: MC bootstrap 5000 iters on _mt5_auto/reports/O166_B14_EURJPY_M4_solo.htm (ORDER-166 fresh full-pin M4 MAIN 2023.01-2025.12, leverage 1:100 asserted; solo re-run -- batch run hit a known 0-trade transient artifact per O166_B14_REVALIDATE.csv; 128t, PF1.57 matches ORDER-166 table exactly)",2026-07-24,"pf_expected raw: 2.49 (full-confirm) | dd95_expected raw: 7.28% (MC DD_95th, bootstrap 5000it on fresh full-pin report; CAVEAT: log-scaled grid/DCA EA -- trade-reshuffle MC is an optimistic lower bound on tail risk per mt5_montecarlo.py docstring; ORDER-159 backfill) | trades_per_month_expected backfilled 2026-07-24 (18 shortfall triage): 128t / 36mo (same MAIN window already cited above), not a guess"
990204,Boss_14_GridLog,AUDCADm,415573666,,1.88,plain,2.58,6.03,MC95_bootstrap_5000it_fullpin,"DEMO_DEPLOYMENT_PLAN.md Boss_14 GridLog cohort table row 4 (OOS 4.30 all years positive; sensitivity 5/8) | dd95: MC bootstrap 5000 iters on _mt5_auto/reports/O166_B14_AUDCAD_M4.htm (ORDER-166 fresh full-pin M4 MAIN 2023.01-2025.12, leverage 1:100 asserted; 93t, PF1.09 -- matches both ORDER-166 and the independent ORDER-172 cross-check exactly) | trades_per_month_expected: 93 trades over 2023.01.01-2025.12.31 (156.4 weeks) in _mt5_auto/reports/O166_B14_AUDCAD_M4.htm",2026-07-23,"pf_expected raw: 1.88 (full-confirm) | dd95_expected raw: 6.03% (MC DD_95th, bootstrap 5000it on fresh full-pin report; CAVEAT: log-scaled grid/DCA EA -- trade-reshuffle MC is an optimistic lower bound on tail risk per mt5_montecarlo.py docstring; ORDER-159 backfill) | ORDER-942 2026-08-02: rate DERIVED as trades / window-weeks * 52/12 from the report this row already cited. It replaces the sentinel UNKNOWN, which made ""silent"" and ""thin"" indistinguishable for this leg."
990205,Boss_14_GridLog size-light thin,CADJPYm,415573666,,1.89,plain,1.25,5.36,MC95_bootstrap_5000it_fullpin,"DEMO_DEPLOYMENT_PLAN.md Boss_14 GridLog cohort table row 5 (sensitivity 2/8; thin 77t -- size light + watch) | dd95: MC bootstrap 5000 iters on _mt5_auto/reports/O166_B14_CADJPY_M4.htm (ORDER-166 fresh full-pin M4 MAIN 2023.01-2025.12, leverage 1:100 asserted; 45t -- thin, PF1.29 matches ORDER-166 table exactly)",2026-07-24,"pf_expected raw: 1.89 (full-confirm) | dd95_expected raw: 5.36% (MC DD_95th, bootstrap 5000it on fresh full-pin report, n=45 thin; CAVEAT: log-scaled grid/DCA EA -- trade-reshuffle MC is an optimistic lower bound on tail risk per mt5_montecarlo.py docstring; ORDER-159 backfill) | trades_per_month_expected backfilled 2026-07-24 (18 shortfall triage): 45t / 36mo (same MAIN window already cited above, thin n) -- not a guess"
990206,Boss_14_GridLog SELL,EURUSDm,415573666,,1.97,plain,2.22,2.99,MC95_bootstrap_5000it_fullpin,"DEMO_DEPLOYMENT_PLAN.md Boss_14 GridLog cohort table row 6 | dd95: MC bootstrap 5000 iters on _mt5_auto/reports/O166_B14_EURUSD_M4.htm (ORDER-166 fresh full-pin M4 MAIN 2023.01-2025.12, leverage 1:100 asserted; 80t, PF1.73 matches ORDER-166 table exactly) | trades_per_month_expected: 80 trades over 2023.01.01-2025.12.31 (156.4 weeks) in _mt5_auto/reports/O166_B14_EURUSD_M4.htm",2026-07-23,"pf_expected raw: 1.97 (full-confirm) | dd95_expected raw: 2.99% (MC DD_95th, bootstrap 5000it on fresh full-pin report; CAVEAT: log-scaled grid/DCA EA -- trade-reshuffle MC is an optimistic lower bound on tail risk per mt5_montecarlo.py docstring; ORDER-159 backfill) | ORDER-942 2026-08-02: rate DERIVED as trades / window-weeks * 52/12 from the report this row already cited. It replaces the sentinel UNKNOWN, which made ""silent"" and ""thin"" indistinguishable for this leg."
990207,Boss_14_GridLog,XAUUSDm,415573666,,1.42,plain,14.76,5.44,MC95_bootstrap_5000it_fullpin,"DEMO_DEPLOYMENT_PLAN.md Boss_14 GridLog cohort table row 7 (lot de-scaled 0.05; corr AUDNZD -0.59/CADJPY -0.19/AUDCAD +0.19/EURJPY +0.32/USDJPY +0.53) | dd95: MC bootstrap 5000 iters on _mt5_auto/reports/O166_B14_XAU_M4.htm (ORDER-166 fresh full-pin M4 MAIN 2023.01-2025.12, leverage 1:100 asserted; 533t, PF1.91 matches ORDER-166 table exactly -- strongest leg of the cohort) | trades_per_month_expected: 533 trades over 2023.01.01-2025.12.31 (156.4 weeks) in _mt5_auto/reports/O166_B14_XAU_M4.htm",2026-07-23,"pf_expected raw: 1.42 (full-confirm; OOS 1.15) | dd95_expected raw: 5.44% (MC DD_95th, bootstrap 5000it on fresh full-pin report; CAVEAT: log-scaled grid/DCA EA -- trade-reshuffle MC is an optimistic lower bound on tail risk per mt5_montecarlo.py docstring; ORDER-159 backfill) | ORDER-942 2026-08-02: rate DERIVED as trades / window-weeks * 52/12 from the report this row already cited. It replaces the sentinel UNKNOWN, which made ""silent"" and ""thin"" indistinguishable for this leg."
1,UnNomGuaiV1.132,EURUSD,69424711,,1.63,plain,90.00,UNKNOWN,UNKNOWN,_demo_deploy/README_DEPLOY.md table (plateau-verified; MaxDD ~19% backtest -- not MC DD95),2026-07-23,pf_expected raw: 1.63 (Model-0) | NEEDS_MC
2,UnNomGuaiV1.132,EURUSD,69424711,,1.63,plain,90.00,UNKNOWN,UNKNOWN,_demo_deploy/README_DEPLOY.md table,2026-07-23,pf_expected raw: 1.63 (Model-0; same validated config as magic 1 -- two chart instances of same set) | NEEDS_MC
5888,RSI from pips_EA,EURUSD,69424711,,2.07,plain,45.00,UNKNOWN,UNKNOWN,_demo_deploy/README_DEPLOY.md table (plateau-verified; MaxDD ~25% backtest -- not MC DD95),2026-07-23,pf_expected raw: 2.07 (Model-0) | NEEDS_MC
990,swb grid 4.1.0.3_h,AUDCAD,69424711,,1.80,plain,35.00,UNKNOWN,UNKNOWN,_demo_deploy/README_DEPLOY.md table (plateau-verified; MaxDD ~20% backtest -- not MC DD95),2026-07-23,pf_expected raw: 1.80 (Model-0) | NEEDS_MC
,ClevrFX_EA,EURUSD,69424711,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNVERIFIED_ROW,2026-07-23,NEEDS_MC
990301,Boss_17_Wave5,XAUUSDm,463666728,,1.11,MAIN,6.44,5.76,MC95_bootstrap_5000it_fullpin,"_vps_deploy/WAVE5_XAU/README_DEPLOY.txt (old MC 5000 iters: ruin 0.00%; DD worst 7.97% MAIN / 4.43% BWD -- was worst-case not a labeled 95th-pct, re-derived per ORDER-159) | dd95: MC bootstrap 5000 iters on _mt5_auto/reports/ORDER166_990301_W5XAU_MAIN.htm (ORDER-166 fresh full-pin MAIN 2023.01-2025.12, leverage 1:100 asserted; 271t, PF1.08 close to pf_expected 1.11; naked probe, no grid/martingale per source header) | trades_per_month_expected: 271 trades over 2023.01.01-2026.07.01 (182.4 weeks) in _mt5_auto/reports/ORDER166_990301_W5XAU_MAIN.htm",2026-07-23,"pf_expected raw: MAIN 1.11 / BWD 1.11 (plateau-center fib23.6/mult0.618) | dd95_expected raw: 5.76% (MC DD_95th, bootstrap 5000it on fresh full-pin report -- re-derives the properly-labeled 95th-pct that the old README only reported as worst-of-5000; ORDER-159 backfill) | ORDER-942 2026-08-02: rate DERIVED as trades / window-weeks * 52/12 from the report this row already cited. It replaces the sentinel UNKNOWN, which made ""silent"" and ""thin"" indistinguishable for this leg. WINDOW INCLUDES 2026H1 - the report predates the holdout pin. A RATE is not a selection metric so it is used, but it is not a clean MAIN window and the next re-derivation should use one."
990302,Boss_17_Wave5,XAGUSDm,463666728,,1.35,MAIN,5.13,7.65,MC95_bootstrap_5000it_fullpin,"_vps_deploy/WAVE5_XAG/README_DEPLOY.txt (6/6 cells both-window; MAIN 1.30-1.45/BWD 1.28-1.35 across plateau; trades 161-257; DD 5-6.5% MAIN / 2-3% BWD; backtest not MC-DD95) | dd95: MC bootstrap 5000 iters on _mt5_auto/reports/ORDER166_990302_W5XAG_MAIN.htm (ORDER-166 fresh full-pin MAIN 2023.01-2025.12, leverage 1:100 asserted; 216t, PF1.33 close to pf_expected 1.35; naked probe, no grid/martingale per source header) | trades_per_month_expected: 216 trades over 2023.01.01-2026.07.01 (182.4 weeks) in _mt5_auto/reports/ORDER166_990302_W5XAG_MAIN.htm",2026-07-23,"pf_expected raw: MAIN 1.35 / BWD 1.29 (plateau-center fib23.6/mult0.618) | dd95_expected raw: 7.65% (MC DD_95th, bootstrap 5000it on fresh full-pin report; ORDER-159 backfill) | ORDER-942 2026-08-02: rate DERIVED as trades / window-weeks * 52/12 from the report this row already cited. It replaces the sentinel UNKNOWN, which made ""silent"" and ""thin"" indistinguishable for this leg. WINDOW INCLUDES 2026H1 - same caveat as 990301."
991003,EA_BREAKOUT_XAU,USDJPYm,463666728,,1.28,MAIN,1.80,0.36,MC95_bootstrap_5000it_fullpin,"_triage/ORDER095_BREAKOUT_XAU_EXPAND_VERDICT.md (102t MAIN / 75t BWD; corr vs XAU home leg 0.066 additive; old evidence pre-dates ORDER-165 pin, window may have overlapped 2026H1 holdout) | dd95: fresh pinned run this session, _mt5_auto/reports/O159_991003_BRKXAU_USDJPY_MAIN.htm (lane2, EA_BREAKOUT_XAU.ex5, USDJPY H4, MAIN 2023.01-2025.12, Model 1, leverage 1:100 asserted, full harvested-defaults .set: BreakoutBars40/SlAtr1.5/TpAtr5.0/Atr14-20/ExpandRatio1.0/DailyEma200/BuyOnly/Lot0.01/Magic991003/AllowLive=true -- matches README's ""compiled defaults, same as validated XAU leg""; MC bootstrap 5000 iters; 65t, PF1.41) | trades_per_month_expected: 65 trades over 2023.01.01-2025.12.31 (156.4 weeks) in _mt5_auto/reports/O159_991003_BRKXAU_USDJPY_MAIN.htm",2026-07-23,"pf_expected raw: MAIN 1.28 / BWD 1.25 | dd95_expected raw: 0.36% (MC DD_95th, bootstrap 5000it on fresh full-pin run; ORDER-159 backfill) | ORDER-942 2026-08-02: rate DERIVED as trades / window-weeks * 52/12 from the report this row already cited. It replaces the sentinel UNKNOWN, which made ""silent"" and ""thin"" indistinguishable for this leg."
991005,EA_BREAKOUT_XAU,US30m,463666728,,1.46,MAIN,0.89,0.18,MC95_bootstrap_5000it_fullpin,"_triage/ORDER095_BREAKOUT_XAU_EXPAND_VERDICT.md (34t MAIN / 26t BWD -- thin; corr vs XAU home leg -0.249 additive; old evidence pre-dates ORDER-165 pin, window may have overlapped 2026H1 holdout) | dd95: fresh pinned run this session, _mt5_auto/reports/O159_991005_BRKXAU_US30_MAIN.htm (lane2, EA_BREAKOUT_XAU.ex5, US30 H4, MAIN 2023.01-2025.12, Model 1, leverage 1:100 asserted, full harvested-defaults .set matching README's ""compiled defaults, same as validated XAU leg"", Magic991005; MC bootstrap 5000 iters; 32t -- thin per original verdict, PF1.21) | trades_per_month_expected: 32 trades over 2023.01.01-2025.12.31 (156.4 weeks) in _mt5_auto/reports/O159_991005_BRKXAU_US30_MAIN.htm",2026-07-23,"pf_expected raw: MAIN 1.46 / BWD 1.39 (WATCH-thin sample) | dd95_expected raw: 0.18% (MC DD_95th, bootstrap 5000it on fresh full-pin run, n=32 thin; ORDER-159 backfill) | ORDER-942 2026-08-02: rate DERIVED as trades / window-weeks * 52/12 from the report this row already cited. It replaces the sentinel UNKNOWN, which made ""silent"" and ""thin"" indistinguishable for this leg."
999094,MacdDiv_Naked,XAUUSDm,463666728,,1.88,MAIN,7.78,2.66,MC95,"_triage/ORDER098B_MACDDIV_M4_VERDICT.md (MAIN 280t/36mo; BWD 240t; HOLDOUT 39t/6mo; no fill-artifact -- trade counts identical to Model-1) | dd95: _triage/_archive/verdicts/order076-098/ORDER098B_MACDDIV_VERDICT.md line 21 ""MC (XAU H4 MAIN, trade-reshuffle 5000 iters, deposit 10k): DD median 1.66% / 95th 2.66% / worst 4.76%, ruin 0.00%""",2026-07-23,"pf_expected raw: MAIN 1.88 / BWD 0.97 / HOLDOUT 1.28 (M4 real-tick confirmed) | dd95_expected raw: 2.66% (MC DD_95th, trade-reshuffle 5000 iters; CAVEAT per script docstring: reshuffle MC = optimistic lower bound, not full parametric MC; ORDER-159 backfill)"
991070,EmaStoRev,EURUSDm,463666728,,1.39,MAIN,3.78,0.33,MC95_bootstrap_5000it_fullpin,"_triage/_archive/verdicts/ORDER_LANEC_SMCSTO_FAN_VERDICT.md (n 136 MAIN/130 BWD over MAIN 2023-25 ~36mo; lock SL>=3.0x ATR never tighten; old evidence pre-dates ORDER-165 pin) | dd95: fresh pinned run this session, _mt5_auto/reports/O159_991070_EMASTOREV_EURUSD_MAIN.htm (lane2, EmaStoRev.ex5, EURUSD H1, MAIN 2023.01-2025.12, Model 1, leverage 1:100 asserted, full harvested-defaults .set overlaying _vps_deploy/SMCSTO_EURUSD/SMCSTO_EURUSD_H1_demo_v1.set -- SL=3.0xATR/StoK13/RoundAvoid=0(OFF, matches ORDER-126 ""keep as-is"" verdict)/Magic991070; MC bootstrap 5000 iters; 202t, PF1.18 -- trade count higher than old evidence, consistent with Model1-vs-old-model fill-rate divergence documented for this session's re-validate campaign, not a config change)",2026-07-23,"pf_expected raw: MAIN 1.39 / BWD 1.19 (center of sensitivity fan; SL axis SL-FRAGILE -- SL-20% flips both windows <1) | dd95_expected raw: 0.33% (MC DD_95th, bootstrap 5000it on fresh full-pin run; ORDER-159 backfill)"
990066,(EXP)_IchiADX_Naked_rev00,USDJPYm,463666728,IchiADX_USDJPY_basket,1.339,plain,4.58,10.77,plain,AGENT_TASKBOARD.md ORDER-112B block + _triage/_archive/verdicts/order104-126/ORDER112_ICHIMOKU_RESCUE_VERDICT.md (merged 357t over full-window 2020-2026 continuous Model-4; true max-DD 6.09% backtest; MC PF_5th 1.036 / DD_95th 10.77% / ruin 0% -- basket-level not per-leg),2026-07-23,pf_expected raw: 1.339 (2-leg basket combined: H4-med 990066 + H1-slow 990067 -- NOT separable per single magic) | dd95_expected relocated here from a sibling leg in the same basket (ORDER-159 fix)
990067,(EXP)_IchiADX_Naked_rev00,USDJPYm,463666728,IchiADX_USDJPY_basket,1.339,plain,4.58,UNKNOWN,UNKNOWN,AGENT_TASKBOARD.md ORDER-112B block + _triage/_archive/verdicts/order104-126/ORDER112_ICHIMOKU_RESCUE_VERDICT.md (same merged-basket MC result as 990066),2026-07-23,"pf_expected raw: 1.339 (2-leg basket combined: H4-med 990066 + H1-slow 990067 -- NOT separable per single magic) | dd95_expected raw: 10.77% (MC DD_95th; basket-level combined; not per-leg) | dd95_expected (10.77%) moved to primary magic 990066 -- same basket, was double-counted (ORDER-159 fix)"
990069,(EXP)_IchiADX_Naked_rev00,XAUUSDm,463666728,IchiADX_XAU_basket,2.143,plain,4.32,UNKNOWN,UNKNOWN,_triage/_archive/verdicts/order104-126/ORDER112_ICHIMOKU_RESCUE_VERDICT.md ORDER-112F section (COMBINED 333t; true max-DD 10.5% backtest; 6/6 years positive; MC PF_5th 1.544 / DD_95th 22.19% / ruin 1.2%),2026-07-23,"pf_expected raw: 2.143 (2-leg basket combined: H1-slow 990068 + H4-med 990069 -- NOT separable per single magic) | dd95_expected raw: 22.19% (MC DD_95th; basket-level combined; not per-leg) | dd95_expected (22.19%) moved to primary magic 990068 -- same basket, was double-counted (ORDER-159 fix)"
990068,(EXP)_IchiADX_Naked_rev00,XAUUSDm,463666728,IchiADX_XAU_basket,2.143,plain,4.32,22.19,plain,_triage/_archive/verdicts/order104-126/ORDER112_ICHIMOKU_RESCUE_VERDICT.md ORDER-112E + ORDER-112F sections,2026-07-23,pf_expected raw: 2.143 (2-leg basket combined: H1-slow 990068 + H4-med 990069 -- NOT separable per single magic; standalone slowH1-only full-window PF 1.57/236t/Sharpe 3.0 also cited) | dd95_expected raw: 22.19% (MC DD_95th; basket-level combined; not per-leg)
990020,EA_SUPERTREND,XAUUSDm,463666728,,1.54,IS,1.33,3.26,MC95,"DEMO_DEPLOYMENT_PLAN.md APPROVED table row (IchiADX/SuperTrend section) + line 310 (MC PF_5th 1.57 / ruin 0% -- MC PF percentile given; not DD95) | dd95: _vps_deploy/EA_SUPERTREND_XAU/README_DEPLOY.txt ""MC bootstrap (IS+OOS 55t): PF_5th 1.57, DD_95th 3.26%, Ruin 0%"" | trades_per_month_expected: 56 trades over 2023.01.01-2026.07.01 (182.4 weeks) in _mt5_auto/reports/ST_XAU_H4_M0_FULL.htm",2026-07-23,"pf_expected raw: IS 1.54 / OOS 4.49 | dd95_expected raw: 3.26% (MC bootstrap DD_95th, 55t IS+OOS; ORDER-159 backfill) | ORDER-942 2026-08-02: rate DERIVED as trades / window-weeks * 52/12 from the report this row already cited. It replaces the sentinel UNKNOWN, which made ""silent"" and ""thin"" indistinguishable for this leg. WINDOW INCLUDES 2026H1. 56 trades here vs the ""IS+OOS 55t"" this row already cited in prose - same evidence family, one trade apart."
