> ORDER-164 Full Parameter Registry - ea_template/core/Inputs.mqh
> Snapshot commit: 733c1db76ea3bcb8e99b7604ee97fe2724459bf9 (last commit touching Inputs.mqh as of registry build; committed 2026-07-23T08:21:21+07:00)
> Registry built: 2026-07-23 (Sonnet, per AGENT_TASKBOARD.md ORDER-164)
> Row count: 183 real inputs = 183/183 COMPLETE as of PARAM-SYNC-004 (2026-07-24). Verify with: compare the identifiers from lines matching '^input ' minus 'input group' in ea_template/core/Inputs.mqh against this file's name column with any [LAB_ENTRY_nn] suffix stripped - the diff must be empty both ways.
> PARAM-SYNC-004 (2026-07-24, Fable-seat): the ORDER-161 moving-target gap is CLOSED. Appended the 6 rows that were deliberately excluded from the ORDER-164 snapshot (_43_LotPerAnchor, _43_BalanceAnchor, _2_BasketTP_BalPct, _32_SL_BalPct, _57_DynCloseBalPct, _8_DDRefBalPct - they live at the END of this file, not in category order) and rewrote the FirstLotMode / _41_FixedLot / _42_RiskPct rows, whose "silently falls back to _41_FixedLot" wording described behavior that MM-SAFETY-001 deleted on the same day. Inputs.mqh line numbers in the 3 rewritten rows + the 6 new rows are from the WORKING TREE at 2026-07-24; the other ~174 rows still cite the ORDER-164 pinned commit and have drifted by ~16 lines.
> Methodology: every owner / active_when / coupled_parameters / causal_question cell was traced by reading the actual code in ea_template/core/*.mqh and ea_template/core/entries/*.mqh at the pinned commit (the 4 files a concurrent session has modified in the working tree - ExitManager.mqh, MoneyManagement.mqh, Recovery.mqh, Inputs.mqh - were re-extracted from git at the same pinned hash so this registry is internally consistent to one commit). Nothing here is inferred from the inline Inputs.mqh comment alone; comments were cross-checked against the switch/if logic that actually reads each identifier. A full-corpus grep pass (177 unique identifiers) was run to confirm none are zero-usage outside their declaration.
> default_profile / optimize_stage / safe_range are UNKNOWN unless a citable source is named in the cell itself (an order, a scorecard row, a doc, or an explicit code clamp). No value in those 3 columns was guessed - see CLAUDE.md hard rule + ORDER-164 "forbidden" list.
> Classification legend: ACTIVE = has real, reachable effect in the current code. INACTIVE = declared but never read, or read only behind a condition that is permanently false for that build. OVERRIDE = supersedes another named input under some condition. COMPATIBILITY = kept only for old .set file compatibility, not meant to be tuned (none found in this codebase - see summary note at end of file).
> SELF-CHECK (required by ORDER-164 spec): RecoveryMode values 82 (REC_ADAPTIVE) and 83 (REC_AGGRESSIVE) are classified ACTIVE below, tagged ENGINE-EDGE. Traced directly to Recovery.mqh:46-69 (pinned snapshot) - Recovery_AddLot() has real case-branch logic for both (82 = DD-scaled multiplier vs _8_DDRefMoney, clamped by RC_RecMultMax; 83 = geometric MathPow(m,rstep) escalation, clamped by RC_RecMultMax), with no early-return gate blocking either branch. The old "(stub)" / "(stub, gated)" labels were factually wrong and were corrected in ORDER-160 (comment-only fix, committed in this same pinned hash 733c1db7). This matches the finding trail in _triage/ORDER158_RECOVERY_STUB_LABEL_FINDING.md.
name,owner,unit,context,active_when,coupled_parameters,default_profile,optimize_stage,safe_range,causal_question,classification,classification_note
"StackMode[LAB_ENTRY_11]","Stack.mqh (Stack_DecideAdd); LabCore.mqh (mode-93 special-casing, exit-owner assert)","enum (90-93)","stack","build 11 only - compile-time default STACK_GRID_TREND(91) for this build, overridable via .set","StackConfirm[LAB_ENTRY_11]; _9_MaxLevels; RC_MaxLevelsOverride; if set to 93: also _9_PendingMode/_9_PendingLegs, and disables Recovery/Hedge/partial-close for that basket (LabCore.mqh explicit skip)","STACK_GRID_TREND(91) - Inputs.mqh:136","UNKNOWN","UNKNOWN","Selects how added orders stack for this build: never-add / trend-following grid / against-trend DCA / pending pyramid ladder.","ACTIVE",""
"StackConfirm[LAB_ENTRY_11]","Stack.mqh (Stack_ConfirmOK - only reached when Stack_DecideAdd's StackMode branch is 91 or 92)","enum (0-4)","stack","build 11 only, AND only functionally consulted when the compiled/.set StackMode value is 91 or 92 (Stack_DecideAdd returns false before this for 90/93)","StackMode[LAB_ENTRY_11]; _9_PA_MinBodyRatio(mode 4 only)","CONF_SIG_VALID(1) - Inputs.mqh:137","UNKNOWN","UNKNOWN","Chooses the extra confirmation gate an add must pass beyond raw distance: none / signal-still-valid / re-trigger / bar-close-beyond-level / engulfing-candle.","ACTIVE",""
"StackMode[LAB_ENTRY_12]","Stack.mqh; LabCore.mqh","enum (90-93)","stack","build 12 only - compile-time default STACK_SINGLE(90)","StackConfirm[LAB_ENTRY_12]; _9_MaxLevels; RC_MaxLevelsOverride","STACK_SINGLE(90) - Inputs.mqh:140","UNKNOWN","UNKNOWN","Selects how added orders stack for this build (default = never add, one order per signal).","ACTIVE",""
"StackConfirm[LAB_ENTRY_12]","Stack.mqh","enum (0-4)","stack","build 12 only, only consulted if a .set overrides StackMode to 91/92 (default StackMode=90 never reaches this check)","StackMode[LAB_ENTRY_12]","CONF_DISTANCE(0) - Inputs.mqh:141","UNKNOWN","UNKNOWN","Confirmation gate for adds, inert at this build's default StackMode.","ACTIVE","dead at default profile (StackMode=90), reachable via .set override to 91/92"
"StackMode[LAB_ENTRY_13]","Stack.mqh; LabCore.mqh","enum (90-93)","stack","build 13 only - compile-time default STACK_GRID_AGAINST(92)","StackConfirm[LAB_ENTRY_13]; _9_MaxLevels; RC_MaxLevelsOverride","STACK_GRID_AGAINST(92) - Inputs.mqh:144","UNKNOWN","UNKNOWN","Selects how added orders stack for this build (default = DCA/average-down grid).","ACTIVE",""
"StackConfirm[LAB_ENTRY_13]","Stack.mqh","enum (0-4)","stack","build 13 only, functionally live at default (StackMode=92)","StackMode[LAB_ENTRY_13]","CONF_PRICE_ACT(3) - Inputs.mqh:145","UNKNOWN","UNKNOWN","Confirmation gate for DCA adds (default = require closed-bar close beyond the trigger level, not just a wick).","ACTIVE",""
"StackMode[LAB_ENTRY_14]","Stack.mqh; LabCore.mqh","enum (90-93)","stack","build 14 only - compile-time default STACK_GRID_AGAINST(92)","StackConfirm[LAB_ENTRY_14]; _9_MaxLevels; RC_MaxLevelsOverride; note Entry_GridLog.mqh's own arm-and-wait distance logic is independent of Stack_StepPrice()/this mode - only the STACK adds route through Stack.mqh","STACK_GRID_AGAINST(92) - Inputs.mqh:148","UNKNOWN","UNKNOWN","Selects how added orders stack for GridLog (default = adverse-move grid, matching the standalone Zeus source).","ACTIVE",""
"StackConfirm[LAB_ENTRY_14]","Stack.mqh","enum (0-4)","stack","build 14 only, functionally live at default (StackMode=92)","StackMode[LAB_ENTRY_14]","CONF_DISTANCE(0) - Inputs.mqh:149","UNKNOWN","UNKNOWN","Confirmation gate for grid adds (default = blind distance-only, matching the standalone Zeus grid).","ACTIVE",""
"StackMode[LAB_ENTRY_15]","Stack.mqh; LabCore.mqh","enum (90-93)","stack","build 15 only - compile-time default STACK_SINGLE(90)","StackConfirm[LAB_ENTRY_15]; _9_MaxLevels; RC_MaxLevelsOverride","STACK_SINGLE(90) - Inputs.mqh:152","UNKNOWN","UNKNOWN","Selects how added orders stack (default = one order per edge signal, no grid).","ACTIVE",""
"StackConfirm[LAB_ENTRY_15]","Stack.mqh","enum (0-4)","stack","build 15 only, only consulted if a .set overrides StackMode to 91/92","StackMode[LAB_ENTRY_15]","CONF_DISTANCE(0) - Inputs.mqh:153","UNKNOWN","UNKNOWN","Confirmation gate for adds, inert at this build's default StackMode.","ACTIVE","dead at default profile (StackMode=90)"
"StackMode[LAB_ENTRY_16]","declared/compiled but never functionally reached for build 16 - Kangaroo_OnTick() unconditionally short-circuits LabCore.mqh's OnTick BEFORE Stack.mqh/Stack_DecideAdd is ever called, for any value of StackMode including 93 (LabCore.mqh: 'if(Kangaroo_OnTick()) return;' is the first statement in OnTick for this build)","enum (90-93)","stack","NEVER - the source comment on this declaration explicitly says 'informational only - Kangaroo.mqh owns its own grid pipeline (LabCore short-circuits)'","none - no other input changes this","STACK_SINGLE(90) - Inputs.mqh:156","UNKNOWN","UNKNOWN","Has no effect on build 16 under any .set value; Kangaroo.mqh's own hand-rolled add/exit pipeline (_16_* inputs) is the real stack engine for this build.","INACTIVE","permanently unreachable for this build regardless of .set override - only row in this registry classified INACTIVE by direct code trace (plus its StackConfirm twin below)"
"StackConfirm[LAB_ENTRY_16]","same as StackMode[LAB_ENTRY_16] - Stack_ConfirmOK() is never reached for build 16","enum (0-4)","stack","NEVER (see StackMode[LAB_ENTRY_16])","StackMode[LAB_ENTRY_16]","CONF_DISTANCE(0) - Inputs.mqh:157","UNKNOWN","UNKNOWN","Has no effect on build 16 under any .set value.","INACTIVE","permanently unreachable for this build - Kangaroo grid adds are distance-only by its own hard-coded design (Kangaroo_TryAdd), not via this input"
"StackMode[LAB_ENTRY_17]","Stack.mqh; LabCore.mqh","enum (90-93)","stack","build 17 only - compile-time default STACK_SINGLE(90), naked probe (no grid/recovery/martingale per ORDER-082 guard G4)","StackConfirm[LAB_ENTRY_17]; _9_MaxLevels; RC_MaxLevelsOverride","STACK_SINGLE(90) - Inputs.mqh:160","UNKNOWN","UNKNOWN","Selects how added orders stack (default = single order, structural mode is a naked probe by design).","ACTIVE",""
"StackConfirm[LAB_ENTRY_17]","Stack.mqh","enum (0-4)","stack","build 17 only, only consulted if a .set overrides StackMode to 91/92 (breaks the naked-probe guard if done)","StackMode[LAB_ENTRY_17]","CONF_DISTANCE(0) - Inputs.mqh:161","UNKNOWN","UNKNOWN","Confirmation gate for adds, inert at this build's default StackMode.","ACTIVE","dead at default profile (StackMode=90); overriding it breaks the documented naked-probe guard"
"StackMode[LAB_ENTRY_18]","Stack.mqh; LabCore.mqh","enum (90-93)","stack","build 18 only - compile-time default STACK_GRID_AGAINST(92)","StackConfirm[LAB_ENTRY_18]; _9_MaxLevels; RC_MaxLevelsOverride","STACK_GRID_AGAINST(92) - Inputs.mqh:164","UNKNOWN","UNKNOWN","Selects how added orders stack for JumStoch (default = DCA grid, matching the standalone Range grid).","ACTIVE",""
"StackConfirm[LAB_ENTRY_18]","Stack.mqh","enum (0-4)","stack","build 18 only, functionally live at default (StackMode=92)","StackMode[LAB_ENTRY_18]","CONF_DISTANCE(0) - Inputs.mqh:165","UNKNOWN","UNKNOWN","Confirmation gate for DCA adds (default = distance-only base; the A/B plan flips this to engulfing).","ACTIVE",""
"_9_StepUseATR","Stack.mqh (Stack_StepPrice)","bool","stack","StackMode is 91/92 (Stack_DecideAdd) or 93 (Stack_ManagePyramid) - i.e. wherever Stack_StepPrice() is called; does NOT affect Entry_GridLog.mqh's own independent arm-distance calc (build 14's first-entry arming uses its own Entry_GridLog_DistPrice, not this)","_9_StepATRmult(true branch); _9_StepPoints(false branch, and as a floor fallback if the ATR step computes <=0)","true - Inputs.mqh:167","UNKNOWN","UNKNOWN","Chooses whether stack/pyramid grid spacing derives from Signal-ATR or a fixed points value.","ACTIVE",""
"_9_StepATRmult","Stack.mqh (Stack_StepPrice)","ATR-multiple","stack","_9_StepUseATR=true","_9_StepUseATR; _9_StepMinPips(floor); _9_StepATRShift(which ATR bar)","1.0 - Inputs.mqh:168","UNKNOWN","UNKNOWN","Multiplier on Signal-ATR that sets the stack/pyramid grid step distance.","ACTIVE",""
"_9_StepPoints","Stack.mqh (Stack_StepPrice)","points (raw broker points, NOT pip-adjusted)","stack","_9_StepUseATR=false, or as the fallback floor when the ATR-derived step computes <=0","_9_StepUseATR","300 - Inputs.mqh:169","UNKNOWN","UNKNOWN","Fixed-points step size used when ATR-based spacing is off (or as an emergency floor).","ACTIVE",""
"_9_StepMinPips","Stack.mqh (Stack_StepPrice, via Stack_PipSize() - digit-aware: 10x point on 3/5-digit symbols)","pips (digit-aware)","stack","_9_StepUseATR=true AND this value >0 (acts as a floor under the computed ATR step)","_9_StepATRmult","0 (off) - Inputs.mqh:170","UNKNOWN","UNKNOWN","Sets a minimum pip floor under the ATR-derived grid step so near-zero-ATR periods cannot produce a degenerate (near-zero) spacing.","ACTIVE",""
"_9_StepATRShift","Stack.mqh (Stack_StepPrice -> Indi_ATR_Points(shift))","bars (indicator shift)","stack","_9_StepUseATR=true","_9_StepATRmult","0 (current/forming bar) - Inputs.mqh:171","UNKNOWN","UNKNOWN","Chooses which Signal-ATR bar-shift feeds the step calc: 0=forming bar (Boss_11/12/13 legacy), 1=last closed bar (matches standalone Zeus GetATR(1) parity).","ACTIVE",""
"_9_MaxLevels","RiskControl.mqh (RiskControl_MaxLevels - combined with the cage cap via min()); LabCore.mqh (level-0 gate)","count (orders)","stack","always","RC_MaxLevelsOverride / RC_MaxRecSteps(ProtectLevel) - effective cap = min(cage cap, this)","5 - Inputs.mqh:174","coarse - OPTIMIZE_GUIDE.md Plan C/E coarse sweep cites 3/5/8","UNKNOWN","Caps the total number of stacked/added orders in a basket (still bounded above by the cage's RC_MaxLevelsOverride/RC_MaxRecSteps).","ACTIVE",""
"_9_RegimeGateAdds","Stack.mqh (Stack_DecideAdd)","bool","stack","true AND _50_RegimeMode != 0 (else Regime_AllowsEntryDirection is a permissive no-op)","_50_RegimeMode; _50_AllowTrendUp/Down/Range","false (off) - Inputs.mqh:181","UNKNOWN","UNKNOWN","When true, extends the Regime market-state gate to also block grid/stack ADDS, not just the flat first entry (closes the AdaptiveGrid_Oil finding gap).","ACTIVE",""
"_9_PA_MinBodyRatio","PriceAction.mqh (PA_BullEngulf/PA_BearEngulf)","ratio (body-size multiple)","stack","StackConfirm == CONF_PA_ENGULF(4) - not a default value on any build; opt-in via .set","StackConfirm(any build's Stack.mqh flow, mode 91/92 only)","1.0 - Inputs.mqh:185","UNKNOWN","UNKNOWN","Minimum ratio of signal-candle body to prior-candle body required for an engulfing pattern to confirm a grid add.","ACTIVE","never a compiled default anywhere in the 8 builds; reachable only via .set StackConfirm=4"
"_9_PendingMode","Stack.mqh (Stack_ManagePyramid)","enum (0/2/3)","stack","StackMode == STACK_PYRAMID(93)","StackMode; _9_PendingLegs; RiskControl_MaxLevels()","0 (none/warn) - Inputs.mqh:193","UNKNOWN","UNKNOWN","Selects the pending-ladder leg type for mode 93: off, LIMIT scale-in, or STOP pyramid.","ACTIVE",""
"_9_PendingLegs","Stack.mqh (Stack_ManagePyramid)","count (legs)","stack","StackMode==93 AND _9_PendingMode is 2 or 3","_9_PendingMode; capped by RiskControl_MaxLevels()-1 and STACK_MAX_LEGS(63)","0 - Inputs.mqh:194","UNKNOWN","UNKNOWN","Number of resting pending legs placed beyond leg0 in the mode-93 ladder.","ACTIVE",""
"_12_Bars","entries/Entry_Breakout.mqh (Entry_Evaluate)","bars (lookback)","entry","build 12 only","_12_ConfirmBars(channel anchor offset)","20 - Inputs.mqh:205","coarse - OPTIMIZE_GUIDE.md Plan D coarse sweep cites 20/40/60","UNKNOWN","Donchian channel lookback length for the breakout entry.","ACTIVE",""
"_12_ConfirmBars","entries/Entry_Breakout.mqh","bars (confirm closes)","entry","build 12 only","_12_Bars","1 - Inputs.mqh:206","UNKNOWN","UNKNOWN","Number of consecutive closed-bar closes required beyond the channel before firing (0 = tick-level breakout, no confirmation).","ACTIVE",""
"_12_HourFrom","entries/Entry_Breakout.mqh","hour (UTC, 0-23)","entry","build 12 only, AND only when _12_HourFrom != _12_HourTo (equal values = filter disabled)","_12_HourTo","0 (no filter) - Inputs.mqh:207","UNKNOWN","UNKNOWN","Session-window start hour (UTC) that gates new breakout entries; wraps past midnight if From>To.","ACTIVE",""
"_12_HourTo","entries/Entry_Breakout.mqh","hour (UTC, 0-23)","entry","build 12 only, AND only when _12_HourFrom != _12_HourTo","_12_HourFrom","0 (no filter) - Inputs.mqh:208","UNKNOWN","UNKNOWN","Session-window end hour (UTC).","ACTIVE",""
"_13_BB_Period","entries/Entry_MeanReversion.mqh; Indicators.mqh (Indi_Init builds g_hBB only under LAB_ENTRY_13)","bars","entry","build 13 only","_13_BB_Dev; _13_RequireBB(gates whether BB is consulted at all)","20 - Inputs.mqh:213","UNKNOWN","UNKNOWN","Bollinger Band period for the mean-reversion entry.","ACTIVE",""
"_13_BB_Dev","entries/Entry_MeanReversion.mqh; Indicators.mqh","std-dev multiple","entry","build 13 only, AND _13_RequireBB=true (else BB is never queried)","_13_BB_Period; _13_RequireBB","2.0 - Inputs.mqh:214","UNKNOWN","UNKNOWN","Bollinger Band deviation width.","ACTIVE",""
"_13_RSI_Period","entries/Entry_MeanReversion.mqh; Indicators.mqh","bars","entry","build 13 only","_13_RSI_OB; _13_RSI_OS","14 - Inputs.mqh:215","UNKNOWN","UNKNOWN","RSI period for the mean-reversion entry.","ACTIVE",""
"_13_RSI_OB","entries/Entry_MeanReversion.mqh","RSI level (0-100)","entry","build 13 only","_13_RSI_Period; _13_RequireBB(also gates whether at_upper requires BB touch)","70 - Inputs.mqh:216","UNKNOWN","UNKNOWN","RSI overbought threshold that arms a short entry.","ACTIVE",""
"_13_RSI_OS","entries/Entry_MeanReversion.mqh","RSI level (0-100)","entry","build 13 only","_13_RSI_Period; _13_RequireBB","30 - Inputs.mqh:217","UNKNOWN","UNKNOWN","RSI oversold threshold that arms a long entry.","ACTIVE",""
"_13_RequireBB","entries/Entry_MeanReversion.mqh","bool","entry","build 13 only","_13_BB_Period; _13_BB_Dev; _13_RSI_OB; _13_RSI_OS","true - Inputs.mqh:218","UNKNOWN","UNKNOWN","When true, requires price to also touch the BB outer band (not RSI-extreme alone) to fire.","ACTIVE",""
"_14_Direction","entries/Entry_GridLog.mqh (Entry_Evaluate)","enum-like int (1=BUY,2=SELL)","entry","build 14 only","none - fixed-direction instance, mirrors _16_Direction/_18_Direction pattern","1 - Inputs.mqh:223","UNKNOWN","UNKNOWN","Fixes this GridLog instance to BUY-only or SELL-only (bidirectional = two chart instances with separate magics).","ACTIVE",""
"_14_DistAtrMult","entries/Entry_GridLog.mqh (Entry_GridLog_DistPrice)","ATR-multiple","entry","build 14 only","_14_MinDistPips(floor, whichever distance is larger wins)","1.5 - Inputs.mqh:224","UNKNOWN","UNKNOWN","Multiplier on Signal-ATR (shift 1) used for both the arm-trigger distance and the implicit grid step for this entry.","ACTIVE",""
